angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.183690,3673881764771779358,0,5561521235692854656,,,,17.896593745515545,19.484944060249862,16.672902633336868,,,,109.69427316756527,-40.382889829135586,3.91779214766023,0.09294883,-9.259167762291286,7.189109225009581,0.096293546,0.10187294,1.0503178,17.89656,3.9513561476602304,0.558381459333747,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,23087149,109.69432671887,-40.38292048194,,,,07184663-4022584,,J071846.62-402258.3,5561521235692854656,,,STAR,tmgaia2,tmgaia2,-9.171,0.260,6.885,0.242,gaia2,3.8077,0.1368,19.240,0.063,17.926300,0.001914,16.593,0.010,cdwrf,cdwrf,3321.0,158.0,4.9310,0.0036,,,0.295,0.014,0.271,0.024,261.2190,9.4280,0.0832,0.0024,9.0940,9.7620,109.69427488104,-40.38289083811
0.004648,0,0,5561557450856646656,,,,20.896843767126416,21.580033597921613,19.59776669720136,,,,110.35494580950561,-40.35191429557418,2.512060728221516,1.3714463,-8.439479148872222,5.531801052887371,3.1523595,1.4406922,0.9412967,20.888301351304403,2.512060728221516,0.41519294878053803,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,771161347,110.35494723487,-40.35191499363,,,,,,,5561557450856646656,,,STAR,gaia2,gaia2,,,,,,,,21.362,0.213,20.987200,0.017697,20.286,0.110,gbprp,,,,,,,,,,,,,,,,,,110.35494723487,-40.35191499363
0.201269,3637800191194685388,0,5561579784687489792,,,,17.696787411787447,19.401476514785536,16.43431530310035,,,,110.5887172789873,-40.21358355979747,3.30482081296922,0.087765194,-10.861598960972316,6.214637211058204,0.1050253,0.09315846,1.0302466,17.696754,3.3432408129692197,0.5518381513854468,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,284649449,110.58878016738,-40.21361218447,,,,07222130-4012489,,J072221.29-401248.8,5561579784687489792,,,STAR,tmgaia2,tmgaia2,-10.806,0.254,6.455,0.231,gaia2,3.3706,0.1344,,,17.734200,0.001807,16.350,0.011,cdwrf,cdwrf,3180.0,159.0,4.8331,0.0102,,,0.393,0.017,0.384,0.025,294.9480,11.8090,0.0874,0.0027,11.3450,12.2730,110.58871924289,-40.21358439101
0.193985,3655849774076253185,0,5561601706200691072,,,,17.702893129858037,19.574544362306533,16.439663443847905,,,,109.98144399971689,-40.32660943094857,3.3077483583930487,0.089678526,-10.10866954194626,6.3079872501994965,0.09655062,0.1168582,1.0056299,17.70286,3.345198358393049,1.0,0.0,0.3231041967901454,1.0,0.005188,109.98144581983,-40.32661028729,5561601706200691072,3.25522009299686,-10.1562073861396,6.6444459263532,,212,17.73952,2.9809475,0.9,Collinder_135,3059.395,109.98150293116,-40.32663746643,29786421,109.98150317810,-40.32663889532,,,,07195556-4019358,,J071955.55-401935.8,5561601706200691072,,,STAR,tmgaia2,tmgaia2,-10.156,0.220,6.644,0.240,gaia2,3.2552,0.1168,,,17.739500,0.001431,16.352,0.009,cdwrf,cdwrf,3192.0,157.0,4.8196,0.0108,,,0.408,0.018,0.400,0.025,305.1450,10.9810,0.0923,0.0025,10.5930,11.3690,109.98144581983,-40.32661028729
0.203675,3655832181890213720,0,5561610571013469312,,,,16.823141568464465,18.408369619423585,15.597434681562262,,,,110.14815527928637,-40.115255074054446,3.366861526640706,0.049743377,-10.801560542737345,6.502766498676108,0.054207813,0.061868675,1.0586978,16.823109,3.4064755266407056,0.5524000431957293,0.0,0.3231041967901454,1.0,0.002244,110.14815723555,-40.11525596974,5561610571013469312,3.41911724766777,-10.9473038277445,6.50734685866785,,211,16.856228,2.7986345,0.8,Collinder_135,3573.2341,110.148218054,-40.11528397522,281425513,110.14821886907,-40.11528398748,,,,07203556-4006550,,J072035.54-400654.9,5561610571013469312,,,STAR,tmgaia2,tmgaia2,-10.947,0.115,6.507,0.146,gaia2,3.4191,0.0655,,,16.856199,0.001225,15.533,0.008,cdwrf,cdwrf,3280.0,157.0,4.7391,0.0106,,,0.498,0.017,0.496,0.022,290.1940,5.5605,0.0915,,,,110.14815723555,-40.11525596974
0.198778,3655832181890213717,0,5561610571013469824,,,,16.49365934704675,17.9832337235269,15.29885596249859,,,,110.1463769565134,-40.11630013841075,3.459902811127886,0.0408568,-10.538047941855728,6.6391500722223835,0.043746628,0.054344848,0.98519754,16.493626,3.498664811127886,0.6870879348719235,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,281425514,110.14643773132,-40.11632994972,,,,07203513-4006587,,J072035.12-400658.7,5561610571013469824,,,STAR,tmgaia2,tmgaia2,-10.454,0.106,6.710,0.163,gaia2,3.4686,0.0655,17.789,0.049,16.517200,0.001216,15.242,0.008,cdwrf,cdwrf,3343.0,157.0,4.7027,0.0122,,,0.540,0.019,0.536,0.022,286.0860,5.4035,0.0905,0.0013,5.3030,5.5040,110.14637887193,-40.11630105821
0.188705,3673864172585737615,0,5561614350584396800,,,,15.590895027308315,16.880528878641318,14.454361680385684,,,,109.9784714710478,-40.23188298039612,3.172201271328108,0.026392227,-9.847028863273385,6.492201822495428,0.028505629,0.0326898,1.043227,15.590862,3.213253271328108,0.8100699201843428,0.0,0.3231041967901454,1.0,2.91E-4,109.97847327236,-40.23188388906,5561614350584396800,3.1394010173263,-9.83448934573658,6.50592516862984,,205,15.615607,2.4360895,0.8,Collinder_135,3792.3628,109.97852879681,-40.23191183461,29786532,109.97852873597,-40.23191190069,,,249-014855,07195484-4013548,,J071954.82-401354.7,5561614350584396800,,,STAR,tmgaia2,tmgaia2,-9.834,0.073,6.506,0.084,gaia2,3.1394,0.0419,16.577,0.275,15.615600,0.001113,14.532,0.006,rered,gaia2,3645.0,122.0,4.3072,,,,0.846,,0.530,,315.7100,4.2125,0.0951,0.0010,4.1570,4.2680,109.97847327236,-40.23188388906
0.185977,3673846580399695640,0,5561620638416960768,,,,17.115033185688162,18.95847388498973,15.82794929988035,,,,110.08219689361103,-40.176765643901064,3.155952994996393,0.055159952,-9.833868015329738,6.0384567161404785,0.062027078,0.066358685,1.0080601,17.115,3.198323994996393,0.9318392052918462,0.0,0.3231041967901454,1.0,0.002769,110.0821986599,-40.17676645568,5561620638416960768,3.20046712803927,-9.82828878083296,6.22307737814021,,230,17.138407,3.077077,0.9,Collinder_135,3031.561,110.08225409622,-40.17679248147,281425603,110.08225404350,-40.17679324948,,,,07201973-4010364,,J072019.73-401036.3,5561620638416960768,,,STAR,tmgaia2,tmgaia2,-9.828,0.147,6.223,0.175,gaia2,3.2005,0.0781,,,17.138399,0.001160,15.732,0.008,cdwrf,cdwrf,3147.0,157.0,4.7275,0.0115,,,0.511,0.018,0.509,0.022,309.9570,7.5655,0.0933,0.0017,7.3840,7.7470,110.08219865990,-40.17676645568
0.194300,3655814589704171936,0,5561631319997879296,,,,18.07480578403471,20.023736665373065,16.771779321855515,,,,110.50611671417477,-40.07092669639073,3.421383539520113,0.10110703,-10.156096160064314,6.469983002576204,0.11866771,0.11650216,1.0510913,18.074772,3.457131539520113,1.0,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,284649235,110.50617673827,-40.07095503618,,,,07220148-4004154,,J072201.47-400415.2,5561631319997879296,,,STAR,tmgaia2,tmgaia2,-10.339,0.253,6.378,0.235,gaia2,3.5132,0.1316,,,18.119600,0.001583,16.682,0.012,cdwrf,cdwrf,3161.0,160.0,4.8738,0.0080,,,0.350,0.016,0.334,0.025,282.9900,10.6420,0.1016,0.0030,10.2490,11.0350,110.50611856908,-40.07092757557
0.195284,3655814589704171771,0,5561633420239034752,,,,17.333216091311158,19.06113843685705,16.09120912615424,,,,110.32773779204517,-40.09983178882966,3.1244304856438188,0.06169722,-10.474373919595282,5.978843247582721,0.070569836,0.069443576,1.0145192,17.333183,3.1634294856438188,0.7032495851347794,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,284497732,110.32779979907,-40.09985811192,,,,07211866-4005594,,J072118.66-400559.3,5561633420239034752,,,STAR,tmgaia2,tmgaia2,-10.674,0.168,5.925,0.178,gaia2,3.1218,0.0855,,,17.367300,0.002594,16.007,0.010,cdwrf,cdwrf,3227.0,157.0,4.7635,0.0108,,,0.470,0.017,0.468,0.023,317.7780,8.7135,0.1022,0.0021,8.4790,8.9480,110.32773971899,-40.09983260118
