Local Path,Status,Message,URL,sector,TIC,pipeline
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0045404408-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0045404408-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 45404408,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0045404408-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0045404408-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 45404408,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0045404408-s0010_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0045404408-s0010_tess_v1_llc.fits,COMPLETE,,,10,TIC 45404408,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 45404408,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 45404408,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0010-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005317891964614977792-0010-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,10,TIC 45404408,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092475268-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092475268-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92475268,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092475268-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092475268-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92475268,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321275295028390912-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321275295028390912-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92475268,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321275295028390912-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321275295028390912-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92475268,CDIPS
./mastDownload/HLSP/hlsp_qlp_tess_ffi_s0009-0000000092475268_tess_v01_llc/hlsp_qlp_tess_ffi_s0009-0000000092475268_tess_v01_llc.fits,COMPLETE,,,9,TIC 92475268,QLP
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092477888-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092477888-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92477888,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092477888-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092477888-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92477888,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321150951435896064-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321150951435896064-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92477888,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321150951435896064-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321150951435896064-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92477888,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092580385-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092580385-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92580385,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092580385-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092580385-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92580385,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005318143752776545280-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005318143752776545280-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92580385,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005318143752776545280-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005318143752776545280-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92580385,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092581404-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092581404-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92581404,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092581404-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092581404-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92581404,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321172323192731008-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321172323192731008-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92581404,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321172323192731008-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321172323192731008-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92581404,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092583560-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092583560-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92583560,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092583560-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092583560-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92583560,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321280728169745536-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321280728169745536-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92583560,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321280728169745536-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321280728169745536-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92583560,CDIPS
./mastDownload/HLSP/hlsp_qlp_tess_ffi_s0009-0000000092583560_tess_v01_llc/hlsp_qlp_tess_ffi_s0009-0000000092583560_tess_v01_llc.fits,COMPLETE,,,9,TIC 92583560,QLP
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092740990-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092740990-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92740990,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092740990-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092740990-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92740990,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321210870519453440-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321210870519453440-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92740990,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321210870519453440-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321210870519453440-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92740990,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092741130-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092741130-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92741130,PATHOS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092741130-s0009_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092741130-s0009_tess_v1_llc.fits,COMPLETE,,,9,TIC 92741130,PATHOS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321251591111558400-0008-cam3-ccd4_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321251591111558400-0008-cam3-ccd4_tess_v01_llc.fits,COMPLETE,,,8,TIC 92741130,CDIPS
./mastDownload/HLSP/hlsp_cdips_tess_ffi_gaiatwo0005321251591111558400-0009-cam3-ccd3_tess_v01_llc/hlsp_cdips_tess_ffi_gaiatwo0005321251591111558400-0009-cam3-ccd3_tess_v01_llc.fits,COMPLETE,,,9,TIC 92741130,CDIPS
./mastDownload/HLSP/hlsp_pathos_tess_lightcurve_tic-0092742627-s0008_tess_v1_llc/hlsp_pathos_tess_lightcurve_tic-0092742627-s0008_tess_v1_llc.fits,COMPLETE,,,8,TIC 92742627,PATHOS
