Name,Spectral,V-I,Period,logNr,TICID,GaiaDR2,SimbadName
VXR 12,K0,0.91,3.86,-0.72,TIC 93549309,Gaia DR2 5318545521198976000,VXR PSPC 12
VXR 14,G0,0.69,1.32,-0.74,TIC 93551206,Gaia DR2 5318096125872352768,VXR PSPC 14
VXR 35a,K3,1.23,0.527,-1.64,TIC 93833881,Gaia DR2 5318474941990522368,VXR PSPC 35a
VXR 38a,K7.5e,1.58,2.78,-0.95,TIC 93832681,Gaia DR2 5318501334573605504,VXR PSPC 38a
VXR 41,K7.5e,1.55,5.8,-0.63,TIC 93832296,Gaia DR2 5318504426950057728,VXR PSPC 41
VXR 42a,M3e,2.49,1.81,-1.18,TIC 93912428,Gaia DR2 5318503533597353856,VXR PSPC 42a
VXR 45a,G9,0.9,0.223,-1.95,TIC 93912319,Gaia DR2 5318500303781947776,VXR PSPC 45a
VXR 47,M2e,2.07,0.258,-2.01,TIC 93911997,Gaia DR2 5318498688873909632,VXR PSPC 47
VXR 60a,,2.1,0.93,-1.47,,Gaia DR2 5318510336826176384,Cl* IC 2391 SHJM 4
VXR 60b,,1.71,0.212,-2.1,,Gaia DR2 5318510332522027008,Cl* IC 2391 SHJM 5
VXR 62a,K0,0.99,0.503,-1.62,TIC 94185535,Gaia DR2 5318532735067774848,VXR PSPC 62a
VXR 64a,,1.83,0.543,-1.69,TIC 94184640,Gaia DR2 5318511539417031040,VXR PSPC 64a
VXR 70,G3,0.75,2.67,-0.62,TIC 94184909,Gaia DR2 5318512260971706496,VXR PSPC 70
VXR 72,G9,0.84,3.23,-0.7,TIC 144752281,Gaia DR2 5318521671232021632,VXR PSPC 72
VXR 76a,K3,1.24,4.86,-0.68,TIC 144759493,Gaia DR2 5318328676892604800,VXR PSPC 76a
VXR 77a,F8,0.6,0.653,-0.79,TIC 144993360,Gaia DR2 5318630905148648704,VXR PSPC 77a
