angDist,ID,RA,Dec,Obs date,Sem,RA_search,Dec_search,TIC,owner,name,date,wav,rho,theta,B/A,delm,see,rho*see,notes,g_group,ap_type,j-k,period,power,sigma,ra_tic,dec_tic,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected
0.003083,,,,,,,,45404408,,,,,,,,,,,,16,Percentile,0.863999999999999,28.0,0,0.026317994331565,130.28371284245,-53.97905019792,130.28371141005,-53.97905035258,0.001,0.001,91,5317891964614977792,130.28352441343,0.0495,-53.97894920748,0.0544,6.4835,0.0529,122.5232,33.617,-24.743,0.06,22.758,0.066,285,-0.445,298.76,0.052,0.0989,31,,,24,0.98,0,3191.36,4.072,16.927425,405.287,8.20578,18.819136,4430.08,15.631867,3.187268,,,0,,,,,,,0.003084,0.022159,0.005141,16.927425,0.003084,3191.36
0.002458,IC2391b083418-5215,08:34:18.1,-52:15:58,20200114,GS2019B,08:34:18.1,-52:15:58,92475268,,,,,,,,,,,,12,Pipeline,0.572999999999999,8.01740923147406,0,0.025404572207345,128.57562366969,-52.2660407817,128.57562279893,-52.26604120843,0.0,0.0,59,5321275295028390912,128.57545322546,0.0079,-52.2659381809,0.0086,6.501,0.0088,738.402,32.903,-23.35,0.011,23.181,0.011,345,-3.2885,477.56,0.043,2.751,31,,,28,0.876,0,295154.0,337.406,12.012246,134065.0,600.155,12.520253,229813.0,11.344457,1.175797,14.9,0.59,6,5000.0,4.5,,,465800683,,0.003022,0.005604,0.004895,12.012246,0.003022,295154.0
0.00663,,,,,,,,92477888,,,,,,,,,,,,16,Percentile,0.819000000000001,28.0,0,0.024657088472593,128.67766738034,-53.28405602594,128.67766700629,-53.28405419802,0.001,0.001,73,5321150951435896064,128.67749037169,0.0304,-53.28394865637,0.0324,6.7175,0.034,197.566,33.593,-23.76,0.039,23.747,0.045,315,2.3826,399.7,0.138,1.823,31,,,26,1.096,0,7623.43,13.0452,15.981991,1129.22,14.4955,17.706596,10282.3,14.717672,2.988924,,,0,,,,,465838299,,0.003323,0.014214,0.005723,15.981991,0.003323,7623.43
0.001986,,,,,,,,92580385,,,,,,,,,,,,16,Pipeline,0.930999999999999,28.0,0,0.026518852148687,128.79803218054,-53.45363226686,128.79803178707,-53.45363176756,0.001,0.001,117,5318143752776545280,128.79785383587,0.033,-53.4535238504,0.0374,6.5214,0.037,176.0987,34.03,-23.842,0.044,24.281,0.048,313,-0.8212,310.15,0.0,0.0,31,,,25,0.966,0,5956.92,4.70096,16.249813,851.755,8.09568,18.012754,8115.16,14.974652,3.038102,,,0,,,,,465827793,,0.002885,0.01069,0.00444,16.249813,0.002885,5956.92
0.001235,,,,,,,,92581404,,,,,,,,,,,,15,Percentile,0.871,28.0,0,0.028970492558058,128.77971709683,-53.07363143407,128.77971659891,-53.07363160179,0.001,0.001,95,5321172323192731008,128.77954369826,0.0237,-53.0735251044,0.0262,6.5905,0.0275,239.7737,33.473,-23.372,0.034,23.962,0.038,294,0.3718,308.98,0.025,0.08316,31,,,21,1.014,0,11406.1,14.2611,15.544523,1883.9,11.9,17.150898,14847.8,14.318744,2.832154,,,0,,,,,465762652,,0.003072,0.007404,0.004826,15.544523,0.003072,11406.1
0.002213,IC2391b083501-5214,08:35:01.2,-52:14:01,20200114,GS2019B,08:35:01.2,-52:14:01,92583560,,,,,,,,,,,,11,Pipeline,0.591000000000001,5.0218810531602,0,0.028337319886356,128.75496818659,-52.23373044947,128.75496758012,-52.23373093916,0.0,0.0,47,5321280728169745536,128.75479026219,0.008,-52.2336221106,0.0082,6.8293,0.0088,773.607,34.592,-24.434,0.01,24.486,0.01,389,-3.3603,582.64,0.054,4.471,31,,,28,0.88,0,326156.0,480.555,11.903805,146269.0,757.471,12.425661,256541.0,11.225005,1.200656,17.26,2.55,5,5500.0,4.5,,,465781841,,0.003186,0.006277,0.005322,11.903805,0.003186,326156.0
0.001442,,,,,,,,92740990,,,,,,,,,,,,17,Threshold,0.799,28.0,0,0.026988824093004,129.00936393163,-52.62111241876,129.00936333134,-52.62111225265,0.001,0.001,110,5321210870519453440,129.00918692685,0.0508,-52.62100410873,0.0593,6.572,0.0591,111.2904,34.244,-24.096,0.07,24.332,0.076,334,1.2399,405.3,0.217,1.431,31,,,25,1.048,0,2641.35,2.46514,17.132803,325.386,8.5664,19.057545,3719.65,15.82164,3.235905,,,0,,,,,465757304,,0.002936,0.02872,0.005157,17.132803,0.002936,2641.35
0.002643,,,,,,,,92741130,,,,,,,,,,,,16,Percentile,0.843,16.4049683618467,0,0.029598876016605,128.86659062199,-52.67554678135,128.86659182128,-52.6755466793,0.001,0.001,29,5321251591111558400,128.86642099344,0.0378,-52.67544583824,0.0392,6.6608,0.0414,161.0796,32.526,-23.305,0.047,22.689,0.046,349,-0.1943,371.47,0.0,0.0,31,,,26,0.992,0,4516.58,4.59053,16.550343,601.967,9.4918,18.38961,6239.47,15.260027,3.129583,,,0,,,,,465759071,,0.002968,0.017346,0.004552,16.550343,0.002968,4516.58
0.001805,IC2391m083545-5315,08:35:45.5,-53:15:24,20200110,GS2019B,08:35:45.5,-53:15:24,92742627,,,,,,,,,,,,12,Threshold,0.676,28.0,0,0.02579296932965,128.93966522524,-53.25672667054,128.93966471812,-53.25672706967,0.0,0.0,97,5321154967220812032,128.93948214339,0.0082,-53.25662179975,0.0088,6.5654,0.0094,694.7665,34.131,-24.575,0.011,23.686,0.011,323,-1.4108,439.34,0.042,2.5,31,,,23,0.944,0,257936.0,225.858,12.158587,107794.0,348.453,12.757059,214694.0,11.418346,1.338713,,,0,,,,,465762083,,0.002915,0.004484,0.004561,12.158587,0.002915,257936.0
0.005596,,,,,,,,92747418,,,,,,,,,,,,15,Threshold,0.843,28.0,0,0.027736720318575,129.223276582,-52.84210778073,129.22327710395,-52.84210930284,0.001,0.001,59,5321192457993772672,129.22309974292,0.0288,-52.84200602316,0.0325,6.4195,0.0324,198.1129,33.481,-24.104,0.037,23.238,0.038,359,2.8953,454.82,0.151,2.535,31,,,26,1.11,0,8084.61,5.83733,15.91822,1378.05,10.6576,17.490383,10476.9,14.697312,2.793071,,,0,,,,,465757507,,0.002865,0.008848,0.004128,15.91822,0.002865,8084.61
