angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,target,filter,cluster,S/N,Teff,logg,gamma,Ks,RV_1,e_RV,logL,ra_epoch2000_GES,dec_epoch2000_GES,PLX,e_PLX,VRA,e_VRA,VDec,e_VDec,RV_2,SRV,Gflag,prob_p,p_filter,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.312331,,,5232928887204721920,,,,16.718596,18.566704,15.429864,,,,157.7077329815,-68.22822991497,6.2069,0.0514,-17.107,9.353,19.497,0.059,1.042,16.718596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00452,157.70773938468,-68.22823125116,5232928887204721920,6.10577531304697,-16.9876836970726,9.60983519815214,,204,16.75107,3.1201944,0.9,IC_2602,2934.207,157.70793797003,-68.22827148196,397262688,157.70793657958,-68.22827262675,,,,10304989-6813418,,J103049.87-681341.6,5232928887204721920,,,STAR,tmgaia2,tmgaia2,-16.988,0.147,9.610,0.158,gaia2,6.1058,0.0870,,,16.751101,0.000950,15.341,0.008,cdwrf,cdwrf,3127.0,157.0,4.8636,0.0020,,,0.361,0.012,0.346,0.021,163.0680,2.3315,0.0355,0.0005,2.2990,2.3640,157.70773938468,-68.22823125116
0.328941,574807086815608213,0,5233141019923090432,,,,18.171523934452924,19.918386636314306,16.893251169707064,,,,157.5989543858217,-67.07713411349143,6.31406036096401,0.10859283,-18.955509608254786,8.091911089546153,0.15349932,0.12236657,0.99376047,18.171492,6.34846536096401,0.459073568938877,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397177275,157.59916790896,-67.07717196107,,,,10302380-6704377,,J103023.78-670437.8,5233141019923090432,,,STAR,tmgaia2,tmgaia2,-18.709,0.220,8.532,0.189,gaia2,6.3808,0.1245,,,18.212500,0.001656,16.801,0.013,cdwrf,cdwrf,3209.0,161.0,5.0687,0.0180,,,0.197,0.008,0.166,0.021,156.1250,3.0605,0.0409,0.0007,3.0020,3.1190,157.59896109599,-67.07713522650
0.366119,430586345623262801,0,5238107724418379264,,,,15.742781786482066,17.46727014580861,14.48396639706972,,,,162.61533913787812,-67.26887205705592,6.725331386071096,0.032572363,-18.72844285961054,13.03806588006185,0.03729301,0.03502193,1.1728376,15.742748,6.773574386071096,0.3072439942577792,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398919062,162.61555372832,-67.26893094017,,,,10502773-6716081,,J105027.69-671608.0,5238107724418379264,,,STAR,tmgaia2,tmgaia2,-18.649,0.118,13.256,0.108,gaia2,6.6452,0.0658,,,15.772300,0.000763,14.404,0.008,cdwrf,cdwrf,3193.0,157.0,4.7723,0.0070,,,0.460,0.014,0.458,0.021,149.8580,1.4885,0.0492,0.0005,1.4740,1.5030,162.61534592733,-67.26887386457
0.367737,430586345623262840,0,5238108102375505408,,,,16.53884707257016,18.587329659018977,15.206540660275007,,,,162.64534092800068,-67.25798956705326,6.71392496586393,0.042503435,-18.844299806095,12.73773067056044,0.050018836,0.04649426,1.0655359,16.538815,6.761159965863929,0.35977366155447466,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398919018,162.64556096277,-67.25804612671,,,,10503493-6715290,,J105034.88-671528.8,5238108102375505408,,,STAR,tmgaia2,tmgaia2,-19.142,0.166,12.724,0.145,gaia2,6.6327,0.0825,,,16.569099,0.000901,15.094,0.008,cdwrf,cdwrf,3011.0,157.0,4.8424,0.0033,,,0.383,0.012,0.372,0.021,150.1570,1.8755,0.0492,0.0006,1.8530,1.8980,162.64534777297,-67.25799134339
0.358491,412501578369739981,0,5238230251248798080,,,,16.946160361859498,18.791647154364945,15.554148101739713,,,,163.957583996128,-66.72587155757228,6.580557931666295,0.058248963,-19.201840712107007,12.06759462594004,0.06858627,0.06310871,1.0821427,16.946127,6.626042931666295,0.3596821650385779,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005872,163.95759079798,-66.72587324315,5238230251248798080,6.62985243535684,-18.8233044313962,12.1273460034302,,244,16.972027,3.1945086,1.0,IC_2602,3216.4023,163.95779997958,-66.72592519118,399368850,163.95779590716,-66.72592545778,,,,10554986-6643332,,J105549.71-664332.7,5238230251248798080,,,STAR,tmgaia2,tmgaia2,-18.823,0.208,12.127,0.157,gaia2,6.6298,0.0908,,,16.972000,0.001154,15.700,0.006,rered,gaia2,3137.0,123.0,,,,,,,,,150.2300,2.0655,0.0521,0.0007,2.0380,2.0930,163.95759079798,-66.72587324315
0.360213,394451995488084828,0,5238563128393218432,,,,17.17645919189583,19.163622838564677,15.85653606219648,,,,164.47933017723173,-66.59921563588995,6.77013375215606,0.06039372,-19.80778801423651,11.40358431734462,0.07151267,0.07288696,0.9602225,17.176426,6.81479975215606,0.42187363647335496,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.007672,164.47933704383,-66.59921722756,5238563128393218432,6.71776520578231,-19.3332369326564,11.5220008535247,,235,17.207464,3.2985868,1.0,IC_2602,2892.0552,164.47955183775,-66.59926631833,399567698,164.47954663252,-66.59926683603,,,,10575510-6635573,,J105755.04-663557.2,5238563128393218432,,,STAR,tmgaia2,tmgaia2,-19.333,0.197,11.522,0.160,gaia2,6.7178,0.0839,,,17.207500,0.001136,15.741,0.008,cdwrf,cdwrf,3047.0,157.0,4.9353,0.0052,,,0.291,0.010,0.267,0.021,148.2630,1.8595,0.0590,,,,164.47933704383,-66.59921722756
0.010428,394434403302041592,0,5238584156554932096,,,,17.240533931204887,19.2917667074069,15.792529967524898,,,,165.12635593243812,-66.55710561047341,6.228418123715431,0.12727806,-18.771554663988375,8.234430007250076,0.14898415,0.139767,2.083573,17.240501,6.2747361237154315,0.48929527792793986,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399841397,165.12636273328,-66.55710664530,,,,11003036-6633257,,,5238584156554932096,,,STAR,tmgaia2,tmgaia2,,,,,,,,,,17.219801,0.002253,15.657,0.009,cdwrf,cdwrf,2989.0,158.0,4.9019,0.0038,,,0.322,0.014,0.302,0.023,,,,,,,165.12636273328,-66.55710664530
0.319041,412466393997585587,0,5238615870594344960,,,,15.1567977562728,16.6190457884217,13.967503185447216,,,,163.9018126973072,-66.43676873837263,6.219867941192869,0.021693062,-17.289049298209772,10.106583643100866,0.024006113,0.022633439,1.0452641,15.156765,6.262877941192869,0.6450233346203618,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001785,163.90181872674,-66.43677014165,5238615870594344960,6.17807324151368,-17.1731580200769,10.1245129621825,,272,15.189793,2.6596155,0.9,IC_2602,3645.3699,163.9020049131,-66.4368136564,399367309,163.90200368805,-66.43681373314,,,118-037105,10553649-6626126,,J105536.45-662612.4,5238615870594344960,,,STAR,tmgaia2,tmgaia2,-17.173,0.073,10.125,0.064,gaia2,6.1781,0.0438,16.758,1.133,15.189800,0.003979,13.920,0.013,cdwrf,cdwrf,3349.0,157.0,4.7043,0.0096,,,0.538,0.016,0.534,0.020,161.1220,1.1470,0.0666,0.0004,1.1390,1.1550,163.90181872674,-66.43677014165
0.326610,412448801811542350,0,5238636383359706368,,,,15.738906928669229,17.360204824852655,14.505818935823454,,,,164.52149360408364,-66.41889088074284,6.270278116208849,0.028639933,-18.103795397357743,9.36585450208386,0.033557646,0.033267375,1.092231,15.7388735,6.316952116208849,0.5932193184810063,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.002625,164.52149992173,-66.41889218261,5238636383359706368,6.35556501179674,-18.0512577513994,9.52753199170224,,250,15.771467,2.8686457,1.0,IC_2602,3133.6672,164.52169473413,-66.41893250663,399566686,164.52169420148,-66.41893320380,,,118-037497,10580521-6625081,,J105805.18-662508.0,5238636383359706368,,,STAR,tmgaia2,tmgaia2,-18.051,0.095,9.528,0.089,gaia2,6.3556,0.0537,17.017,1.133,15.771500,0.000909,14.437,0.008,cdwrf,cdwrf,3246.0,157.0,4.7735,0.0070,,,0.459,0.014,0.456,0.021,156.6490,1.3280,0.0659,0.0005,1.3170,1.3390,164.52149992173,-66.41889218261
0.319260,430445608135196895,0,5238668028678488832,,,,15.384224966202556,16.915200262890608,14.17956173044463,,,,163.69317604757316,-65.8775510996545,6.333183009228628,0.024826586,-17.920769727953903,9.089727744990425,0.027935032,0.026995623,0.9977994,15.3841915,6.377573009228628,0.6066654111089638,1.0,0.4438221264685632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.002334,163.69318214774,-65.87755235716,5238668028678488832,6.37075980923395,-17.7721672163673,9.06134189681162,,246,15.410744,2.727705,1.0,IC_2602,3481.8423,163.69337093456,-65.87759149832,399364410,163.69336937932,-65.87759137115,,,121-036775,10544640-6552393,,J105446.38-655239.2,5238668028678488832,32637287,,STAR,tmgaia2,tmgaia2,-17.772,0.081,9.061,0.079,gaia2,6.3708,0.0429,16.794,0.149,15.410700,0.001225,14.125,0.008,cdwrf,cdwrf,3315.0,157.0,4.7398,0.0084,,,0.497,0.015,0.495,0.021,156.2690,1.0555,0.0561,0.0004,1.0480,1.0630,163.69318214774,-65.87755235716
