angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,target,filter,cluster,S/N,Teff,logg,gamma,Ks,RV_1,e_RV,logL,ra_epoch2000_GES,dec_epoch2000_GES,PLX,e_PLX,VRA,e_VRA,VDec,e_VDec,RV_2,SRV,Gflag,prob_p,p_filter,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.444111,,,5534775787153586048,,,,17.013056,18.88946,15.724852,,,,120.16884464108,-39.75069882138,5.2576,0.0561,-23.342,15.097,27.799,0.063,1.032,17.013056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36E-4,120.16884889459,-39.75070094602,5534775787153586048,5.17805057541703,-23.3099719268022,15.0503883938542,,250,17.046091,3.087842,0.9,NGC_2451A,2994.3494,120.16897957483,-39.75076591929,132864842,120.16897943329,-39.75076574628,,,,08004055-3945028,,J080040.53-394502.4,5534775787153586048,,,STAR,tmgaia2,tmgaia2,-23.310,0.146,15.050,0.156,gaia2,5.1781,0.0897,,,17.046101,0.000981,15.636,0.009,cdwrf,cdwrf,3142.0,158.0,4.8632,0.0031,,,0.361,0.012,0.347,0.021,192.1550,3.3395,0.1043,0.0017,3.2820,3.3970,120.16884889459,-39.75070094602
0.453059,,,5535669518305523584,,,,17.17119,18.888943,15.914157,,,,117.72071067926,-41.96302537952,5.2909,0.0583,-23.174,16.482,28.437,0.066,0.974,17.17119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002024,117.72071501651,-41.9630276653,5535669518305523584,5.24521639513017,-23.0917539899682,16.3801518923347,,237,17.198814,3.0078363,1.0,NGC_2451A,3059.067,117.72084919191,-41.96309863356,131251092,117.72084872588,-41.96309819109,,,,07505300-4157472,,J075052.99-415747.0,5535669518305523584,,,STAR,tmgaia2,tmgaia2,-23.092,0.148,16.380,0.150,gaia2,5.2452,0.0889,,,17.198799,0.001127,15.831,0.008,cdwrf,cdwrf,3179.0,157.0,4.9027,0.0006,,,0.322,0.011,0.301,0.021,189.7040,3.2245,0.0636,0.0010,3.1710,3.2780,117.72071501651,-41.96302766530
0.444368,3223169958313864768,0,5535749576497065472,,,,15.413466122212721,16.78207553524642,14.257425161002393,,,,117.64831335610285,-41.2807094696726,5.281468799702434,0.024124045,-22.474600658859856,16.46228514769095,0.027890181,0.028347876,0.9496094,15.413433,5.323376799702435,0.43631541177368494,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001403,117.64831750385,-41.28071177746,5535749576497065472,5.26023480965312,-22.4150567340917,16.3900364194156,,242,15.4313135,2.5176325,1.0,NGC_2451A,3704.5767,117.64844627566,-41.28078263531,131108788,117.64844592877,-41.28078234544,,,244-019834,07503563-4116507,,J075035.60-411650.6,5535749576497065472,,,STAR,tmgaia2,tmgaia2,-22.415,0.068,16.390,0.065,gaia2,5.2602,0.0376,16.446,0.092,15.431300,0.001711,14.218,0.008,cdwrf,cdwrf,3423.0,157.0,4.7047,0.0095,,,0.538,0.016,0.534,0.020,189.0810,1.3560,0.0873,0.0006,1.3460,1.3660,117.64831750385,-41.28071177746
0.450183,3277283522586438035,0,5535836128675188608,,,,16.682311732724706,18.503266808037626,15.401181366016921,,,,116.30167387994541,-41.57568059355692,5.42303894338604,0.04543689,-22.292203207215955,16.995148808486658,0.05173411,0.056172173,1.0076357,16.682278,5.46788494338604,0.35964182058000466,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.004854,116.30167802954,-41.57568293118,5535836128675188608,5.3456728401516,-22.196564535837,17.2992390432634,,224,16.7132,3.1496534,1.0,NGC_2451A,2940.0884,116.30180632112,-41.57575612748,175388093,116.30180578169,-41.57575741377,,,,07451243-4134326,,J074512.40-413432.4,5535836128675188608,,,STAR,tmgaia2,tmgaia2,-22.197,0.119,17.299,0.117,gaia2,5.3457,0.0700,,,16.713200,0.000903,15.304,0.008,cdwrf,cdwrf,3113.0,157.0,4.8316,0.0042,,,0.395,0.013,0.385,0.021,186.1170,2.4450,0.0555,0.0007,2.4130,2.4770,116.30167802954,-41.57568293118
0.447278,3277248338214404086,0,5535941230816590592,,,,18.639886819447092,20.55511541853764,17.237009227689413,,,,116.61595272471838,-41.19806644594339,5.254827404226097,0.13694741,-22.437231053674445,16.969967425241528,0.14161716,0.15385684,0.9841362,18.639854,5.285426404226096,0.35689157744647393,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175531211,116.61608403969,-41.19814177102,,,,07462786-4111532,,J074627.84-411153.1,5535941230816590592,,,STAR,tmgaia2,tmgaia2,-22.224,0.302,16.943,0.348,gaia2,5.1080,0.1878,,,18.681499,0.002727,17.132,0.015,cdwrf,cdwrf,3122.0,166.0,4.9999,0.0029,,,0.240,0.012,0.210,0.023,195.1590,7.2240,0.0568,0.0019,6.9620,7.4860,116.61595686884,-41.19806882293
0.412899,3295280328909930083,0,5535986452532465280,,,,15.314586969186124,16.635296145856337,14.178236072575398,,,,116.34704382243844,-41.14121793706493,5.030966879481448,0.021808224,-20.605978436788227,15.553036661465224,0.023688706,0.025389452,1.0300949,15.314554,5.071982879481448,1.0,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001165,116.34704765927,-41.14122008904,5535986452532465280,5.06739259217124,-20.6356226329289,15.489005423667,,229,15.331205,2.4536285,1.0,NGC_2451A,3816.4136,116.34716543099,-41.14128706161,175390598,116.34716563691,-41.14128677773,,,245-019093,07452331-4108285,,J074523.30-410828.4,5535986452532465280,,,STAR,tmgaia2,tmgaia2,-20.636,0.071,15.489,0.072,gaia2,5.0674,0.0407,16.350,0.160,15.331200,0.000926,14.141,0.008,cdwrf,cdwrf,3458.0,157.0,4.6776,0.0106,,,0.569,0.017,0.562,0.021,196.2410,1.5810,0.0561,0.0004,1.5690,1.5930,116.34704765927,-41.14122008904
0.451056,3295280328909950942,0,5535987758199122432,,,,18.9062614878041,21.29709077566957,17.488941843512222,,,,116.37560163896796,-41.07945837427823,5.533194868912554,0.16413674,-21.861529491211584,17.456048351736285,0.16299908,0.17671484,1.0318397,18.880638163439663,5.533194868912554,0.3199704169494441,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175390736,116.37572973805,-41.07953821403,,,,07453016-4104462,,J074530.13-410446.5,5535987758199122432,,,STAR,tmgaia2,tmgaia2,-21.721,0.360,17.984,0.399,gaia2,5.3193,0.2291,,,18.929501,0.002823,17.496,0.007,rered,gaia2,,,,,,,,,,,187.6280,8.1520,0.0579,0.0023,7.8050,8.4990,116.37560567114,-41.07946078471
0.437128,3295245144537847270,0,5536020399954569984,,,,16.876534780232078,18.63105630748639,15.626655327624674,,,,116.60459211699043,-40.80721418500391,5.244889629128078,0.049662564,-21.706077616376405,16.497338227884015,0.0520803,0.057233185,0.9739031,16.876501,5.287393629128078,0.5884322217456788,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001721,116.6045960995,-40.80721646692,5536020399954569984,5.17753184244099,-21.6955245017223,16.6100242591291,,197,16.90573,2.9757404,0.9,NGC_2451A,3024.192,116.60471957099,-40.80728750644,175530344,116.60471951040,-40.80728798213,,,,07462513-4048262,,J074625.11-404826.0,5536020399954569984,,,STAR,tmgaia2,tmgaia2,-21.695,0.130,16.610,0.156,gaia2,5.1775,0.0907,,,16.905701,0.001179,15.540,0.008,cdwrf,cdwrf,3194.0,157.0,4.8573,0.0036,,,0.367,0.013,0.354,0.022,192.1760,3.3765,0.0766,0.0012,3.3180,3.4350,116.60459609950,-40.80721646692
0.446014,3295227552351808379,0,5536023488027414016,,,,16.631915146941296,18.33911838954373,15.379629667074594,,,,116.91201278074223,-40.7900272324457,5.416882656506599,0.04855292,-22.730940993952014,16.497867206046962,0.050081585,0.060399946,1.0257896,16.631882,5.459897656506598,0.3724720148502604,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.010883,116.91201697606,-40.79002948074,5536023488027414016,5.41791635086676,-22.9344808149628,15.8372685404822,,211,16.662455,2.968237,1.0,NGC_2451A,3038.9104,116.912146218,-40.79010055622,175706801,116.91214740100,-40.79009766904,,,,07473891-4047243,,J074738.89-404724.2,5536023488027414016,,,STAR,tmgaia2,tmgaia2,-22.934,0.128,15.837,0.188,gaia2,5.4179,0.0813,,,16.662500,0.001543,15.304,0.008,cdwrf,cdwrf,3198.0,157.0,4.8380,0.0044,,,0.388,0.013,0.377,0.021,183.6680,2.7645,0.0660,0.0009,2.7240,2.8050,116.91201697606,-40.79002948074
0.439672,3295227552351813322,0,5536027168823124096,,,,16.39515216603481,17.982524710526967,15.10483737450998,,,,116.94206085451124,-40.61443476656848,5.355032975443615,0.0405761,-22.674856191866922,15.844619570967943,0.041836847,0.049753137,1.0562383,16.395119,5.396786975443615,0.4755863159936968,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.004371,116.94206500894,-40.61443694777,5536027168823124096,5.36949587845957,-22.6381814330643,15.5693834241942,,216,16.421337,2.8538446,0.8,NGC_2451A,3237.2104,116.94219361208,-40.61450518702,175706389,116.94219340992,-40.61450398261,,,,07474613-4036520,,J074746.12-403651.7,5536027168823124096,,,STAR,tmgaia2,tmgaia2,-22.638,0.137,15.569,0.182,gaia2,5.3695,0.0850,,,16.421301,0.001379,15.012,0.017,cdwrf,cdwrf,3253.0,157.0,4.8054,0.0065,,,0.423,0.014,0.418,0.021,185.3240,2.9415,0.0892,0.0013,2.8960,2.9870,116.94206500894,-40.61443694777
