angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,target,filter,cluster,S/N,Teff,logg,gamma,Ks,RV_1,e_RV,logL,ra_epoch2000_GES,dec_epoch2000_GES,PLX,e_PLX,VRA,e_VRA,VDec,e_VDec,RV_2,SRV,Gflag,prob_p,p_filter,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.155102,2448550822406176646,0,5513527793663018880,,,,12.680277014308448,13.02687795488539,12.165171774245133,,,,123.12205039325309,-49.95284846688312,2.5815257859795513,0.009862989,-8.58294541523244,4.446626223101045,0.0110608125,0.01253776,0.9925734,12.6802435,2.5981367859795514,1.0,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.002103,123.12205222516,-49.9528491435,5513527793663018880,2.49986968539443,-8.67156797330039,4.32761397296745,16.4638116107992,244,12.677132,0.8698702,0.8,NGC_2547,6314.717,123.12210968049,-49.95286822966,238733955,123.12211025268,-49.95286777625,,,201-018975,08122930-4957103,,J081229.28-495710.2,5513527793663018880,22528955,,STAR,tmgaia2,tmgaia2,-8.672,0.041,4.328,0.042,gaia2,2.4999,0.0238,12.863,0.092,12.677100,0.001131,12.222,0.006,rered,gaia2,6204.0,129.9,4.5023,0.0838,,,1.013,0.048,1.190,0.175,395.4950,3.7470,0.1369,0.0099,3.7120,3.7820,123.12205222516,-49.95284914350
0.153437,2448550822406181400,0,5513529030613260800,,,,17.760056861694437,19.357267554583885,16.531947121327217,,,,123.11485873128572,-49.873847625772854,2.4824968447419518,0.07949878,-8.851194772196848,4.188756702673599,0.091000885,0.093792096,1.0133551,17.760023,2.517903844741952,0.8810970696619538,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005119,123.11486069064,-49.87384820477,5513529030613260800,2.51826618207626,-8.75981215177532,3.86987423887881,,213,17.793055,2.878151,0.8,NGC_2547,3093.9995,123.11491977135,-49.87386624245,238733736,123.11491921269,-49.87386486670,,,,08122758-4952258,,J081227.59-495225.8,5513529030613260800,,,STAR,tmgaia2,tmgaia2,-8.760,0.226,3.870,0.244,gaia2,2.5183,0.1140,,,17.793100,0.001777,16.460,0.009,cdwrf,cdwrf,3241.0,157.0,4.7844,0.0154,,,0.447,0.022,0.443,0.027,393.9820,17.8970,0.1260,0.0045,17.0990,18.6950,123.11486069064,-49.87384820477
0.159928,2484632395983267695,0,5514260991816786816,,,,18.1185424947736,19.897084594554016,16.853269470639315,,,,122.18534251480291,-50.0049114544618,2.483401260569327,0.115962535,-8.600924669734644,4.20386961222616,0.16089357,0.13756552,1.0796603,18.11851,2.5164182605693273,1.0,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238594739,122.18540389343,-50.00493188155,,,,08084449-5000178,,J080844.49-500017.6,5514260991816786816,,,STAR,tmgaia2,tmgaia2,-8.882,0.358,4.610,0.270,gaia2,2.3338,0.1524,,,18.158600,0.001962,16.765,0.011,cdwrf,cdwrf,3227.0,158.0,4.7968,0.0202,,,0.433,0.026,0.428,0.032,426.3190,28.5675,0.1412,0.0071,26.6910,30.4440,122.18534439094,-50.00491203455
0.154973,2484614803797233342,0,5514265703406789504,,,,18.023261133733833,19.796588111748328,16.752247636964984,,,,122.48507905346007,-49.88113362285641,2.4492490707402723,0.10967042,-8.79697116655748,4.226294651162333,0.115762435,0.12536351,1.0229101,17.997637163439663,2.4492490707402723,0.8016738643344349,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238618081,122.48513791451,-49.88115398341,,,,08095644-4952520,,J080956.42-495252.0,5514265699102541952,,,STAR,tmgaia2,tmgaia2,-8.521,0.274,4.601,0.277,gaia2,2.6327,0.1509,,,18.031799,0.001900,16.664,0.009,cdwrf,cdwrf,3224.0,158.0,4.8162,0.0169,,,0.411,0.023,0.404,0.030,377.8600,22.1925,0.1058,0.0048,20.9140,23.4710,122.48508098044,-49.88113417159
0.213034,0,0,5514267077787687168,,,,20.73911025126454,21.122718310596433,19.600648272639255,,,,122.4013182514683,-49.89119695754748,2.4548203670620476,1.2166902,-8.263945979544223,4.069207873570788,1.2721306,1.7553358,0.9926792,20.737685762233557,2.4548203670620476,0.7398313992576159,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817259525,122.40140852278,-49.89118601954,,,,,,,5514267077787687168,,,STAR,gaia2,gaia2,-13.115,3.374,-2.626,3.055,gaia2,0.8060,2.0408,21.221,0.200,20.799299,0.011163,20.060,0.091,gbprp,gaia2,,,,,,,,,,,3234.9600,2443.6799,0.2779,0.0247,1854.0500,3033.3101,122.40132087338,-49.89119732669
0.141118,2484614803797233301,0,5514268825841645440,,,,19.365704121542485,21.21564649196098,18.008843095745238,,,,122.45233112858756,-49.8470723725777,2.176263292189788,0.2621151,-8.14891527730597,4.339054931887763,0.27579924,0.3003732,1.0554374,19.340080163439662,2.176263292189788,0.4366895945082236,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238617990,122.45238596294,-49.84708929454,,,,08094857-4950495,,J080948.58-495049.6,5514268825841645440,,,STAR,tmgaia2,tmgaia2,-7.937,0.632,3.785,0.507,gaia2,2.2172,0.3381,,,19.386700,0.003749,17.854,0.021,cdwrf,cdwrf,3079.0,175.0,4.8631,0.0500,,,0.361,0.055,0.347,0.065,464.0580,84.5910,0.1211,0.0160,69.7400,99.4420,122.45233296551,-49.84707299729
0.149103,2466582813101702585,0,5514275732145995776,,,,18.12274859373051,19.958096330520373,16.838234460290927,,,,122.78665539267303,-49.928354335939794,2.4557379125732166,0.110461265,-8.38505197386738,4.008367652257153,0.124367476,0.15528008,1.0361266,18.097124163439663,2.4557379125732166,0.7827460400869413,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238669792,122.78671412074,-49.92837125115,,,,08110881-4955421,,J081108.80-495542.1,5514275732145995776,,,STAR,tmgaia2,tmgaia2,-8.506,0.283,3.797,0.296,gaia2,2.4832,0.1414,,,18.131500,0.001938,16.740,0.014,cdwrf,cdwrf,3153.0,158.0,4.8032,0.0175,,,0.426,0.024,0.420,0.030,400.3040,23.3340,0.1134,0.0051,22.0000,24.6680,122.78665722696,-49.92835490142
0.146416,2466582813101707362,0,5514276178822781056,,,,18.492297419516216,20.422104250672547,17.222950502817664,,,,122.82456490587697,-49.86346502503963,2.754901112067707,0.16000533,-8.566539946677683,4.523999623460989,0.17814855,0.22988233,1.0925213,18.492264,2.7860131120677067,0.9234829861571809,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238669647,122.82462131939,-49.86348323878,,,,08111791-4951485,,J081117.90-495148.5,5514276178822781056,,,STAR,tmgaia2,tmgaia2,-8.166,0.393,4.095,0.473,gaia2,3.0791,0.2133,,,18.544201,0.002753,17.131,0.013,cdwrf,cdwrf,3179.0,160.0,4.8973,0.0170,,,0.327,0.023,0.307,0.032,324.5250,23.1995,0.0926,0.0054,21.5740,24.8250,122.82456677402,-49.86346560966
0.152804,2466582813101707357,0,5514276178825651456,,,,17.966438255406224,19.684875358206103,16.72947751296705,,,,122.8230246272785,-49.85382703315741,2.795138603624333,0.116681494,-8.091094068725589,4.580653064998783,0.12824568,0.16283831,1.0725691,17.966406,2.829362603624333,0.5478512987076896,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238669622,122.82308214501,-49.85384768246,,,,08111754-4951138,,J081117.51-495114.3,5514276178825651456,,,STAR,tmgaia2,tmgaia2,-8.354,0.283,4.646,0.364,gaia2,2.6624,0.1449,,,18.002399,0.002262,16.655,0.012,cdwrf,cdwrf,3238.0,160.0,4.8110,0.0167,,,0.417,0.023,0.411,0.030,373.4870,20.7995,0.1038,0.0046,19.6630,21.9360,122.82302635466,-49.85382767714
0.160488,2466582813101707432,0,5514277312694083584,,,,17.9112268482441,19.68951629869634,16.65265668663081,,,,122.86895844895524,-49.88445728716075,2.6840685748486237,0.094118975,-8.786972064638514,4.387001342664507,0.10327266,0.12109505,0.9924088,17.911194,2.719456574848624,0.9434667330007362,0.0,0.17243942090115677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238669690,122.86901896405,-49.88447889769,,,,08112855-4953040,,,5514277312694083584,,,STAR,tmgaia2,tmgaia2,-8.769,0.257,4.884,0.374,gaia2,2.7369,0.1334,,,17.954399,0.002904,16.587,0.011,cdwrf,cdwrf,3219.0,158.0,4.8056,0.0159,,,0.423,0.022,0.417,0.029,363.0640,18.0830,0.1012,0.0040,17.2000,18.9660,122.86896036860,-49.88445787062
