Cluster,Age,(M − m)0,E(B − V),Number,Number,Number,Resolving,(M−m)0,e1_dmod,e2_dmod,E(B − V),e_E(B-V)
# ,(Myr),literature,literature,observed,complete,fitted,power,members,,,members,
Trumpler 14 ,1–3,12.3,0.4–0.9,1118,1063,729,12951,12.15,0.03,0.6,0.71,0.14
Chamaeleon I ,2,6.02,∼1,720,649,148,13897,6.39,0.01,0.04,0.19,0.1
NGC 6530 ,1-7,10.48,0.35,1980,1294,1075,13561,10.66,0.03,0.3,0.48,0.1
NGC 2264 ,3,9.4,0.07,1884,1738,1344,14968,9.35,0.01,0.16,0.03,0.07
Rho Ophiuchus ,3,5.4,,313,298,70,15854,5.72,0.01,0.03,0.58,0.2
Lambda Ori ,6,7.9,0.12,618,546,296,17281,8.02,0.01,0.09,0.06,0.03
Gamma 2 Vel ,5-10,7.72,0.04,1283,1283,496,14301,7.76,0.01,0.08,0.02,0.03
NGC 2232 ,32,7.56,0.03,1769,1764,760,12402,7.56,0.01,0.07,0.06,0.04
NGC 2547 ,35,7.97,0.06,480,480,267,13862,7.97,0.01,0.09,0.08,0.05
IC 4665 ,42,7.69,0.17,567,567,300,15332,7.71,0.02,0.08,0.13,0.04
IC 2602 ,46,5.91,0.03,1861,1794,116,13542,5.91,0.01,0.03,0.01,0.02
NGC 2451b ,50,7.84,0.01,1657,1655,418,13862,7.84,0.02,0.08,0.07,0.03
IC 2391 ,53,5.9,0.01,438,420,67,12963,5.92,0.01,0.03,0.02,0.02
NGC 2451a ,50-80,2.91,0.01,1657,1655,354,13862,6.44,0.01,0.04,0.02,0.02
NGC 2516 ,125,8.09,0.11,764,764,643,13440,8.08,0.01,0.09,0.13,0.03
NGC 6067 ,120,10.76,0.38,532,530,489,17279,11.79,0.02,0.5,0.32,0.04
Blanco 1 ,100-150,6.88,0.01,468,468,326,17282,6.89,0.01,0.05,0.01,0.04
NGC 6259 ,210,11.61,0.66,447,447,373,17359,11.91,0.03,0.53,0.69,0.06
NGC 6705 ,250,11.37,0.42,1070,1070,963,14393,11.9,0.01,0.53,0.36,0.08
NGC 4815 ,500,11.99,0.7,126,126,105,14012,12.87,0.11,0.85,0.67,0.11
NGC 6633 ,575,7.99,0.17,1600,1598,143,14532,7.97,0.01,0.09,0.16,0.02
Trumpler 23 ,900,11.71,0.58,89,89,77,13600,12.29,0.04,0.64,0.74,0.04
NGC 6802 ,950,11.28,0.84,103,103,94,14309,12.72,0.13,0.79,0.82,0.07
Berkeley 81 ,1000,12.39,1,203,203,169,13849,12.89,0.1,0.86,0.94,0.05
Ruprecht 134 ,1000,12.66,0.5,680,680,415,17299,12.09,0.05,0.58,0.47,0.07
NGC 6005 ,1200,12.16,0.45,355,355,275,13771,12.38,0.1,0.67,0.27,0.08
Pismis18 ,1200,11.75,0.5,101,101,86,13965,12.43,0.04,0.69,0.69,0.05
Trumpler 20 ,1400,12.39,0.35,557,557,447,13743,13.09,0.04,0.96,0.38,0.1
NGC 2420 ,2200,11.97,0.05,563,563,514,12408,12.2,0.02,0.61,0.01,0.03
Berkeley 31 ,2900,14.4,0.19,616,616,454,13048,14.39,0.23,2.14,0.05,0.12
Berkeley 44 ,2900,12.46,0.98,93,93,82,13600,12.63,0.08,0.76,0.87,0.07
NGC 2243 ,3800,12.96,0.05,705,705,564,14051,13.41,0.02,1.14,0.01,0.11
