target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
10430061-5931462,665,Trumpler14,160.75254,-59.5295,38.34,6494,4.487,0.99,13.418,49.29,0.78,1.44
10430716-5931209,665,Trumpler14,160.77983,-59.5225,59.6,33549,4.75,1.003,11.17,295,2.66,1.7
10431150-5931530,665,Trumpler14,160.79792,-59.5314,69.09,6316,3.994,1,11.929,-12.42,0.44,2.33
10431485-5933354,665,Trumpler14,160.81187,-59.5598,46.46,6786,3.906,1.003,13.08,-12.41,0.97,1.42
10431499-5933413,665,Trumpler14,160.81246,-59.5615,30.01,5062,4.213,0.981,12.135,9.08,0.65,1.7
10432086-5929596,665,Trumpler14,160.83692,-59.4999,58.8,13333,4.222,0.993,12.805,-8.29,5.8,1.81
10432699-5935444,665,Trumpler14,160.86246,-59.5957,204.3,4907,2.523,1.02,9.524,47.12,0.24,2.52
10433077-5935580,665,Trumpler14,160.87821,-59.5994,49.32,6202,4.611,0.989,14.22,16.34,0.63,1.2
10433196-5933564,665,Trumpler14,160.88317,-59.5657,14.73,5693,3.168,1.011,12.575,-1.5,3.39,0.73
10433225-5935115,665,Trumpler14,160.88438,-59.5865,43.53,6101,3.99,1.016,13.431,7.04,2.49,1.01
10433353-5934383,665,Trumpler14,160.88971,-59.5773,25.66,12037,3.642,0.993,12.687,36.82,16.91,1.74
10433408-5931342,665,Trumpler14,160.892,-59.5262,16.57,5628,3.571,1.002,12.157,37.93,8.82,2.04
10433490-5934035,665,Trumpler14,160.89542,-59.5676,67.44,6150,4.038,1.001,13.267,-38.3,0.38,1.35
10433576-5931477,665,Trumpler14,160.899,-59.5299,103.24,4904,2.546,1.015,10.294,26.5,0.25,2.2
10433612-5932053,665,Trumpler14,160.9005,-59.5348,123.35,6917,3.857,1.002,11.483,-27.79,0.32,2.26
10433664-5934510,665,Trumpler14,160.90267,-59.5808,90,29218,4.707,1.003,11.296,69.64,0.49,2.1
10433677-5933152,665,Trumpler14,160.90321,-59.5542,64.19,6337,4,0.998,11.887,-20.47,2.19,1.68
10433677-5936482,665,Trumpler14,160.90321,-59.6134,26.38,4842,4.525,0.967,13.857,-4.21,0.43,0.7
10433750-5936583,665,Trumpler14,160.90625,-59.6162,51,13794,3.905,0.984,12.654,204.98,15.41,2.14
10433866-5934444,665,Trumpler14,160.91108,-59.579,200.55,25234,4.023,1.002,10.599,1.34,1.78,2.69
10433880-5933018,665,Trumpler14,160.91167,-59.5505,50.72,5604,4.15,-999,12.68,-10.53,2.18,1.16
10433880-5934238,665,Trumpler14,160.91167,-59.5733,25.08,7055,3.5,1.025,12.828,-5.87,0.77,0.79
10433949-5931460,665,Trumpler14,160.91454,-59.5294,64.21,14837,4.71,1.002,12.682,1.48,3.84,1.71
10433966-5935573,665,Trumpler14,160.91525,-59.5992,40.9,15148,5,1.001,11.938,614,36.23,1.56
10434009-5933321,665,Trumpler14,160.91704,-59.5589,59.65,5571,3.99,0.995,13.376,20.87,0.31,1.24
10434013-5933561,665,Trumpler14,160.91721,-59.5656,14.63,5018,3.127,0.999,12.214,-6.81,0.86,0.91
10434017-5935581,665,Trumpler14,160.91737,-59.5995,107.05,6910,3.97,0.997,11.962,2.91,0.54,2.27
10434018-5934496,665,Trumpler14,160.91742,-59.5804,47.96,4862,3.57,-999,11.957,-5.43,1.51,1.15
