angDist,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.000287,117.7558988667874,-38.6376923471379,117.75588400325,-38.63768831941,5538504265442019968,0.733022033384753,-2.69653002066653,0.935471645550042,,263,16.290861,1.2332878,0.9,NGC_2477,5784.849,117.75589886679,-38.63769234714,117.75589887969,-38.63769242624,0.0006260,0.0005739,1.39,5538504265442019968,117.75588350725,0.0268,-38.63768819364,0.0306,0.7063,0.0346,20.3963,2.865,-2.702,0.036,0.952,0.039,430,-0.4328,429.87,0.000,0.000e+00,31,,,27,0.984,0,5.80765e+03,2.61519e+00,16.277365,2.63873e+03,1.42588e+01,16.785053,4.69622e+03,15.568525,1.263,1.216528,,,0,,,,,,,0.002798,0.006497,0.005924,16.277365,0.002798,5.80765e+03,0.025,0.5739,0.6260,0.0042
0.001236,117.7400778856761,-38.6321662282163,117.74006521877,-38.63216218363,5538504295495824128,0.644251571828861,-2.2981949336238,0.939388192616507,,259,13.043768,0.7872009,0.9,NGC_2477,7097.417,117.74007788568,-38.63216622822,117.74007770626,-38.63216654175,0.0001897,0.0001630,1.96,5538504295495824128,117.74006481711,0.0077,-38.63216203778,0.0090,0.6715,0.0101,66.5501,2.482,-2.265,0.010,1.013,0.012,428,-2.6952,473.25,0.000,0.000e+00,31,,,28,0.908,0,1.15564e+05,2.16358e+01,13.030307,6.33023e+04,3.00380e+01,13.334993,7.52065e+04,12.557258,1.199,0.777736,,,0,,,,,38047413,,0.002763,0.002837,0.003790,13.030307,0.002763,1.15564e+05,0.001,0.1631,0.1896,0.0104
0.002517,117.8122398058648,-38.6219999452957,117.81222600228,-38.62199519089,5538504501655058304,0.718660796887905,-2.5047820293743,1.10424852519707,,253,17.609243,1.5095272,0.7,NGC_2477,4425.569,117.81223980586,-38.6219999453,117.81223899896,-38.62199964295,0.0012236,0.0010917,20.25,5538504501655058304,117.81222557241,0.0538,-38.62199505287,0.0595,0.7470,0.0681,10.9650,2.576,-2.360,0.069,1.033,0.075,425,0.3824,449.96,0.000,0.000e+00,31,,,28,1.012,0,1.74362e+03,1.56571e+00,17.583735,6.68329e+02,7.53749e+00,18.276066,1.53732e+03,16.780985,1.265,1.495081,,,0,,,,,38048132,,0.002923,0.012559,0.007807,17.583735,0.002923,1.74362e+03,-0.005,1.1083,1.2086,0.0740
0.004035,117.8175079564761,-38.6278630835501,117.81749326175,-38.62785854629,5538504505960226176,0.756233531106455,-2.66626979722325,1.05381657292638,,256,14.828316,1.1262436,1.0,NGC_2477,6014.684,117.81750795648,-38.62786308355,117.81750696499,-38.62786227338,0.0004896,0.0004369,4.90,5538504505960226176,117.81749281534,0.0203,-38.62785842755,0.0232,0.7475,0.0256,29.1559,2.633,-2.487,0.027,0.865,0.030,433,12.9552,956.32,0.222,1.538e+01,31,,,28,1.473,0,2.22602e+04,5.54739e+00,14.818546,1.04737e+04,1.35491e+01,15.288288,1.70261e+04,14.170109,1.235,1.118179,,,0,,,,,38048056,,0.002769,0.003124,0.003939,14.818546,0.002769,2.22602e+04,0.007,0.4373,0.4893,0.0194
0.000696,117.8141466667779,-38.5915110269026,117.81413424887,-38.59150670272,5538504609039812736,0.620105269728671,-2.25429534583417,1.00432718213069,,245,14.740183,1.0028629,0.7,NGC_2477,6536.5884,117.81414666678,-38.5915110269,117.81414647087,-38.59151114482,0.0003126,0.0002915,5.68,5538504609039812736,117.81413384224,0.0136,-38.59150655283,0.0157,0.6898,0.0175,39.4983,2.449,-2.221,0.018,1.033,0.019,415,-1.6522,374.78,0.000,0.000e+00,31,,,28,0.942,0,2.41936e+04,5.04431e+00,14.728116,1.20141e+04,1.64240e+01,15.139312,1.75230e+04,14.138875,1.221,1.000437,,,0,,,,,38049490,,0.002765,0.003160,0.003868,14.728116,0.002765,2.41936e+04,0.004,0.2917,0.3124,0.0138
0.002432,117.8536938473744,-38.5925102175651,117.85367916893,-38.59250531434,5538504677759281920,0.642127849590783,-2.66462787583114,1.13881343772492,4.28276936327013,254,12.648037,1.0259466,1.0,NGC_2477,6957.2217,117.85369384737,-38.59251021757,117.85369358207,-38.59250957467,0.0002336,0.0002132,33.13,5538504677759281920,117.85367872614,0.0100,-38.59250511656,0.0113,0.7010,0.0127,55.1467,2.799,-2.613,0.014,1.003,0.014,415,4.4781,813.80,0.098,1.188e+01,31,,,28,1.160,0,1.65603e+05,3.18442e+01,12.639699,8.17015e+04,4.63773e+01,13.057966,1.20650e+05,12.044080,1.222,1.013887,4.28,16.24,7,6000.0,3.5,,,38048232,,0.002763,0.002857,0.003797,12.639699,0.002763,1.65603e+05,0.004,0.2195,0.2277,0.0836
0.000533,117.8220732797145,-38.5871569508149,117.82206065062,-38.58715290754,5538504707812676480,0.66124794746999,-2.29277322868463,0.939084413963847,,258,13.828838,0.842536,0.8,NGC_2477,6946.596,117.82207327971,-38.58715695081,117.82207314985,-38.58715705841,0.0002345,0.0002028,12.03,5538504707812676480,117.82206023791,0.0096,-38.58715277151,0.0113,0.6673,0.0122,54.8524,2.467,-2.271,0.013,0.965,0.014,420,-0.0366,416.46,0.000,0.000e+00,31,,,28,0.998,0,5.60031e+04,9.43767e+00,13.816835,2.99122e+04,2.20003e+01,14.148921,3.74610e+04,13.313948,1.203,0.834973,,,0,,,,,38049493,,0.002761,0.002902,0.003811,13.816835,0.002761,5.60031e+04,0.001,0.2043,0.2332,0.0592
0.002556,117.8340404799954,-38.5851611467545,117.83402912295,-38.58515655322,5538504707813644672,0.70279909239455,-2.06189322916801,1.06688443701402,,255,16.70939,1.2958612,0.8,NGC_2477,5556.6025,117.83404048,-38.58516114675,117.83404101937,-38.58516057559,0.0007545,0.0007041,28.25,5538504707813644672,117.83402871314,0.0338,-38.58515643590,0.0372,0.6750,0.0424,15.9117,2.356,-2.164,0.045,0.931,0.046,407,0.8706,445.91,0.000,0.000e+00,31,,,27,1.030,0,3.98200e+03,2.86964e+00,16.687113,1.71013e+03,1.19039e+01,17.255972,3.27489e+03,15.959902,1.252,1.296070,,,0,,,,,38049502,,0.002864,0.008056,0.005139,16.687113,0.002864,3.98200e+03,0.005,0.7157,0.7435,0.0577
0.000611,117.8222999980013,-38.5902699031024,117.82228676371,-38.59026480966,5538504712118641024,0.698622986098629,-2.40254049777591,1.18299415604489,,248,15.599715,1.1126623,0.8,NGC_2477,6190.3696,117.822299998,-38.5902699031,117.82230021478,-38.59026989510,0.0004681,0.0004046,14.96,5538504712118641024,117.82228630774,0.0191,-38.59026465105,0.0224,0.7041,0.0241,29.2721,2.716,-2.446,0.025,1.180,0.029,429,-0.3164,432.32,0.000,0.000e+00,31,,,28,0.988,0,1.09856e+04,3.54914e+00,15.585308,5.15873e+03,1.14114e+01,16.057186,8.30931e+03,14.948983,1.226,1.108203,,,0,,,,,38049492,,0.002778,0.003681,0.004121,15.585308,0.002778,1.09856e+04,-0.001,0.4091,0.4641,0.0728
0.000398,117.8339164838436,-38.589035073469,117.83390410709,-38.58903167287,5538504712119024512,0.685709728626033,-2.24690221142756,0.789816759058382,,256,16.393557,1.3939219,0.9,NGC_2477,5547.542,117.83391648384,-38.58903507347,117.83391658077,-38.58903499297,0.0006722,0.0006324,14.64,5538504712119024512,117.83390368592,0.0299,-38.58903156744,0.0335,0.7177,0.0379,18.9563,2.395,-2.268,0.040,0.771,0.041,404,1.4888,460.95,0.125,1.279e+00,31,,,27,1.052,0,5.31634e+03,3.00611e+00,16.373335,2.18564e+03,1.22708e+01,16.989594,4.48277e+03,15.619029,1.254,1.370565,,,0,,,,,38048189,,0.002823,0.006704,0.004412,16.373335,0.002823,5.31634e+03,-0.001,0.6350,0.6697,0.0298
