#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-19T13:12:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6054a3083b2e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/nodup}&key:source=J/A+A/640/A1/nodup&HTTPPRM:&
#-c=IC2391
#-c.eq=J2000
#-c.r=  10
#-c.u=deg
#-c.geom=r
#-source=J/A+A/640/A1/nodup
#-order=I
#-out=RA_ICRS
#-out=DE_ICRS
#-out=GaiaDR2
#-out=Plx
#-out=pmRA*
#-out=pmDE
#-out=RV
#-out=o_Gmag
#-out=Gmag
#-out=BP-RP
#-out=proba
#-out=Cluster
#-out=Teff50
#-out=_RA.icrs
#-out=_DE.icrs
#
#INFO	-c=130.133333-53.033333,rd=10.	
#Constraint -bmark=POST

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_nodup:
#Name: J/A+A/640/A1/nodup
#Title: Members
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR2	(I19)	Gaia DR2 source ID	[ucd=meta.id;meta.main]
#Column	Plx	(D24.17)	Absolute stellar parallax	[ucd=pos.parallax]
#Column	pmRA*	(D25.18)	Proper motion in right ascension direction (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(D25.18)	Proper motion in declination direction	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F24.19)	? Spectroscopic radial velocity in the solar barycentric reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	o_Gmag	(I4)	Number of observations contributing to G photometry	[ucd=meta.number]
#Column	Gmag	(F10.7)	G-band mean magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(D16.9)	? BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	proba	(F8.5)	Membership probability	[ucd=stat.probability]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	Teff50	(F14.8)	? Effective temperature (Anders et al., 2019A&A...628A..94A, Cat. I/349)	[ucd=phys.temperature.effective]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS|DE_ICRS|GaiaDR2|Plx|pmRA*|pmDE|RV|o_Gmag|Gmag|BP-RP|proba|Cluster|Teff50|_RA.icrs|_DE.icrs
deg|deg| |mas|mas/yr|mas/yr|km/s| |mag|mag| | |K|deg|deg
---------------|---------------|-------------------|------------------------|-------------------------|-------------------------|------------------------|----|----------|----------------|--------|-----------------|--------------|---------------|---------------
134.53013104838|-61.95819047704|5298253106390610304| 7.49009398481083011e+00|-1.468237524879529943e+01| 1.686305394377020050e+01|  21.8207498278920013490| 308|12.6411880| 1.640358000e+00| 1.00000|Platais_8        | 5375.48300000|134.53026551725|-61.95826308179
128.78438530699|-61.88347891855|5301104414917531264| 1.04804164542572997e+00|-4.872446814192450404e+00| 2.868145698175299962e+00|                        | 366|13.7373330| 8.578720000e-01| 1.00000|UBC_255          | 6792.41162109|128.78442982238|-61.88349126750
134.34719187701|-61.86467797138|5298266261868327424| 7.74199526809325977e+00|-1.517557074520370008e+01| 1.693820585376469978e+01|                        | 329|17.8757930| 3.826545700e+00| 1.00000|Platais_8        |              |134.34733043844|-61.86475089970
135.47245132765|-61.77822570571|5298164355188675328| 7.21921345087259958e+00|-1.395430422943369919e+01| 1.606326262066259858e+01|                        | 367|16.8739990| 2.984174700e+00| 1.00000|Platais_8        | 3243.47660000|135.47257837986|-61.77829486692
128.44385955711|-61.70159231856|5301121216829420672| 1.11336725916963997e+00|-4.822545020351769907e+00| 2.809912996976950073e+00|                        | 360|13.0002700| 8.188362000e-01| 1.00000|UBC_255          | 6676.83593750|128.44390335659|-61.70160441679
128.83643427625|-61.68776452344|5301141798313362176| 1.08396547673112997e+00|-4.951461536010030251e+00| 2.733622659107910025e+00| -11.3703628792085993382| 337|12.7511150| 7.191400500e-01| 1.00000|UBC_255          | 6600.60644531|128.83647922643|-61.68777629319
128.68326265899|-61.67837599554|5301119327043876736| 1.03126165554460991e+00|-4.785857893928230133e+00| 2.860483434306099859e+00|                        | 398|14.2794340| 9.816799000e-01| 1.00000|UBC_255          | 6295.76220703|128.68330609258|-61.67838831150
127.91616308264|-61.67290550186|5301870499643171712| 1.05544396841327992e+00|-4.856067750865279642e+00| 2.888714302199050010e+00|                        | 373|13.5067280| 8.239794000e-01| 1.00000|UBC_255          | 6528.21044922|127.91620714561|-61.67291793937
133.41980510793|-61.64459749828|5298328113700530688| 3.07269073383606983e+00|-9.683428787456080045e+00| 2.644208899129540047e+00|                        | 387|16.6683480| 2.338826200e+00| 0.90000|UPK_545          | 3555.30440000|133.41989289293|-61.64460888304
127.84906170461|-61.59364623629|5301882903508621056| 1.06676607989923000e+00|-4.868950740694540258e+00| 2.829333642374900037e+00|                        | 352|13.2262590| 8.273859000e-01| 1.00000|UBC_255          | 6579.69482422|127.84910577143|-61.59365841813
128.09411065393|-61.58008222507|5301877096712898304| 9.83292196803914997e-01|-4.842459226058159594e+00| 2.914811015070490008e+00|                        | 339|12.9301490| 8.289594700e-01| 1.00000|UBC_255          | 6726.98339844|128.09415446181|-61.58009477494
128.57228450771|-61.57743627327|5301123759450043008| 9.85247738068633971e-01|-5.096035030086889961e+00| 3.260239322465280143e+00| -14.1452161699608005563| 383|12.1318270| 1.316604600e+00| 1.00000|UBC_255          | 4943.55664062|128.57233060566|-61.57745031040
128.33205292120|-61.55781194455|5301875069488400640| 1.07063946425671008e+00|-4.941321395845529985e+00| 2.918977855927010090e+00|                        | 337|15.9977410| 1.340935700e+00| 1.00000|UBC_255          | 5094.90136719|128.33209759137|-61.55782451237
128.24119520272|-61.54699378801|5301876851897327872| 1.00697891600915002e+00|-4.872406745316720134e+00| 2.853050463078619980e+00|                        | 335|12.6714770| 8.817816000e-01| 1.00000|UBC_255          | 6689.42187500|128.24123923455|-61.54700607197
128.21782125289|-61.53630337200|5301876924914212480| 1.06377188268213008e+00|-4.516063980556349833e+00| 2.451140144170210089e+00|                        | 318|14.3757250| 9.796152000e-01| 1.00000|UBC_255          |              |128.21786205041|-61.53631392551
128.66964925936|-61.52520489849|5301147776907718144| 1.04343738347639992e+00|-4.891730909594190102e+00| 2.975810847505599988e+00|  -5.4026442306879696176| 345|11.9341660| 7.625685000e-01| 1.00000|UBC_255          | 6678.38867188|128.66969343482|-61.52521771100
128.27275911168|-61.52047154552|5301878368023226624| 1.05468639940426989e+00|-4.852270649695389793e+00| 2.620044694628819837e+00|                        | 338|15.8235600| 1.549244900e+00| 1.00000|UBC_255          | 5660.71972656|128.27280292411|-61.52048282626
128.78284457522|-61.51947955748|5301147605109031680| 1.04928084838077007e+00|-5.111313091154520372e+00| 2.163382010565249924e+00|                        | 355|13.4953950| 8.118152600e-01| 1.00000|UBC_255          | 6527.39160156|128.78289072514|-61.51948887204
128.81059956713|-61.51375751056|5301149082577783296| 1.03349420236156009e+00|-4.929042926529249691e+00| 2.799627629851849875e+00|                        | 352|14.8963910| 9.777775000e-01| 1.00000|UBC_255          | 5960.55126953|128.81064406315|-61.51376956450
128.30981590641|-61.51302275533|5301878264944013568| 1.04445181238145990e+00|-4.813130163122210092e+00| 2.806698270369429871e+00|                        | 338|14.0589060| 1.075487100e+00| 1.00000|UBC_255          | 5898.25000000|128.30985935502|-61.51303483972
128.41032685121|-61.50890161946|5301875687963697920| 1.01350874951465997e+00|-5.050524343804320360e+00| 2.814027766205149828e+00|                        | 345|15.6427350| 1.175352100e+00| 1.00000|UBC_255          | 5380.60937500|128.41037243676|-61.50891373540
120.34539050807|-61.50301883745|5289971447367604224| 2.35819576580618007e+00|-4.775145602050620219e+00| 1.117750058582359962e+01|                        | 415|14.4914780| 1.268446000e+00| 0.70000|NGC_2516         | 5123.98050000|120.34543359998|-61.50306696279
120.54769400938|-61.50091466785|5289924099648208384| 2.37263771062211992e+00|-4.784732684000720049e+00| 1.119534572613300050e+01|                        | 416|16.3218820| 1.912538500e+00| 0.80000|NGC_2516         | 3958.84720000|120.54773718489|-61.50096287002
128.62798728781|-61.49977203196|5301898090513670912| 1.01693104966991998e+00|-4.985921026197400074e+00| 2.779555690950620050e+00|                        | 344|13.4345660| 7.587099000e-01| 1.00000|UBC_255          | 6741.64892578|128.62803227705|-61.49978399949
128.31315725062|-61.49383720951|5301878505462183680| 1.12757524721225999e+00|-5.002268292634839852e+00| 3.198371716717439917e+00|                        | 345|14.5352760| 1.023834200e+00| 1.00000|UBC_255          | 6165.70068359|128.31320237876|-61.49385098027
128.58919165646|-61.47934293510|5301898365391577088| 1.07381276412784010e+00|-4.895343687121499698e+00| 2.762960886277149974e+00|                        | 385|11.6684980| 2.919845600e-01| 1.00000|UBC_255          | 7709.43261719|128.58923579942|-61.47935483117
128.49355200760|-61.47675052304|5301899258744768000| 1.00936399033876989e+00|-4.884671419425719918e+00| 2.889464970742730010e+00|  -1.6735437355646098911| 283|12.7525290| 8.406734500e-01| 1.00000|UBC_255          | 6454.00683594|128.49359605065|-61.47676296379
128.59903574699|-61.47122089824|5301898743348700544| 1.02867339034775007e+00|-4.458988218730690178e+00| 2.727294413323360089e+00|  -8.5091907242876203554| 329|12.4653700| 7.649364500e-01| 1.00000|UBC_255          | 6873.35595703|128.59907594470|-61.47123264075
128.59557276880|-61.46638517247|5301899499262945024| 9.81346400472399960e-01|-4.825996587830010398e+00| 2.804649676443229822e+00|                        | 348|15.2895990| 1.334821700e+00| 1.00000|UBC_255          | 5944.15039062|128.59561626833|-61.46639724803
128.58147240187|-61.46547247120|5301899121305822336| 1.06295483263233992e+00|-4.188899086931759719e+00| 3.123825944138889810e+00| -21.9066318652518994270| 312| 9.8933170| 9.242687000e-01| 1.00000|UBC_255          | 4595.12353516|128.58151015776|-61.46548592100
128.62736678132|-61.46317195201|5301898777708441472| 1.12387773651388989e+00|-5.013586036993039841e+00| 2.332828762147959978e+00|  -7.9926468202741398628| 125|11.0254260| 1.275855100e+00| 1.00000|UBC_255          | 4729.32275391|128.62741196704|-61.46318199613
128.40228421469|-61.46265576050|5301878849059573120| 1.06022806846411011e+00|-4.828217760894750299e+00| 2.804476494602909931e+00|  -8.6900655150835000029| 354|12.9607810| 8.954248400e-01| 1.00000|UBC_255          | 6734.98535156|128.40232772902|-61.46266783532
128.42961865677|-61.45481708376|5301902316761416320| 1.07404907237591996e+00|-4.912832222605699961e+00| 2.831262361868149835e+00|                        | 362|14.1579440| 1.041946400e+00| 1.00000|UBC_255          | 6095.77099609|128.42966292256|-61.45482927391
128.45567167166|-61.44939621002|5301902282401679744| 1.01364980343424005e+00|-4.851916545834789929e+00| 2.974755177905069825e+00|                        | 333|15.5039380| 1.331020400e+00| 1.00000|UBC_255          | 5635.91943359|128.45571538098|-61.44940901798
128.69291413086|-61.44871403749|5301898842126464896| 1.00254955493179998e+00|-4.937954153829569925e+00| 2.783590863529640025e+00|                        | 333|12.5557120| 8.253803000e-01| 1.00000|UBC_255          | 6457.90527344|128.69295861430|-61.44872602239
129.03070967846|-61.43552831412|5301154683215156096| 1.01855565012930005e+00|-4.982878522155069767e+00| 2.418373773521460102e+00|  -9.0122172577296701945| 286|10.5671170| 1.274590500e+00| 1.00000|UBC_255          | 4755.73828125|129.03075454761|-61.43553872655
128.44665995101|-61.43507063885|5301902351121156992| 1.00160360112140001e+00|-4.912159301604559936e+00| 2.758574111723310018e+00|                        | 349|16.3305280| 1.581934000e+00| 1.00000|UBC_255          |              |128.44670418271|-61.43508251604
127.79964292216|-61.43082666364|5301887920030324736| 1.05595694939512996e+00|-5.060997711107860120e+00| 2.574586212911650129e+00|                        | 375|16.2540820| 1.358487100e+00| 1.00000|UBC_255          | 5023.05664062|127.79968848788|-61.43083774865
128.62177423784|-61.42902979731|5301899705421313664| 1.01369757828047002e+00|-4.912881931577929961e+00| 2.855869112469719973e+00|                        | 310|13.0604860| 8.304739000e-01| 1.00000|UBC_255          | 6501.77880859|128.62181846749|-61.42904209340
128.78492269863|-61.42231408791|5301900289536938112| 1.07330644104253992e+00|-4.855525913572660279e+00| 2.695895989775840107e+00|                        | 337|13.8259270| 8.305559000e-01| 1.00000|UBC_255          | 6356.26367188|128.78496640251|-61.42232569523
120.18677929919|-61.41902005470|5289882039029655168| 2.39285470812543988e+00|-4.543770111186059779e+00| 1.109554574839819985e+01|                        | 432|17.2924980| 2.357919700e+00| 0.70000|NGC_2516         | 3614.23200000|120.18682019273|-61.41906782718
128.65496872552|-61.41614965464|5301899739781056128| 1.06649779850608994e+00|-5.011588852755330059e+00| 2.661118029927640016e+00| -12.2945059417543998137| 361| 8.5303490| 1.801238500e+00| 1.00000|UBC_255          | 3869.00952148|128.65501382518|-61.41616111223
128.41916301725|-61.41494836810|5301902625999064192| 1.04214527633238996e+00|-4.360174908141090100e+00| 3.304676902126800098e+00| -12.8210156152692000830| 308|11.5603960| 1.350773800e+00| 1.00000|UBC_255          | 4844.77001953|128.41920225328|-61.41496259656
128.92195603661|-61.40988803928|5301149872851729024| 1.04552433792882993e+00|-4.788318991719119566e+00| 2.839568228218179780e+00|                        | 343|14.6266050| 9.320507000e-01| 1.00000|UBC_255          | 6345.29003906|128.92199911842|-61.40990026519
128.38525046363|-61.40626687714|5301903347553505536| 1.06538508765598006e+00|-4.938314574187519845e+00| 2.894125443942200171e+00|                        | 349|13.0814030| 8.250503500e-01| 1.00000|UBC_255          | 6501.96337891|128.38529488983|-61.40627933795
119.98137591875|-61.40386327696|5289894515912156544| 2.46457578292557988e+00|-5.212299158862330195e+00| 1.105290158317989935e+01|                        | 440|15.3408420| 1.769223200e+00| 0.80000|NGC_2516         | 5023.25930000|119.98142280622|-61.40391086584
136.84894728871|-61.39265715320|5299684670535073152| 7.19994611140941032e+00|-1.521027789237660066e+01| 1.566791848765119965e+01|                        | 374|13.7602410| 2.125999500e+00| 1.00000|Platais_8        | 3932.86160000|136.84908406448|-61.39272461223
139.72309112989|-61.38696827163|5298936968269001088| 7.30103034841091958e+00|-1.634684133685129837e+01| 1.525910429158439996e+01|                        | 323|14.6294250| 2.623804000e+00| 1.00000|Platais_8        | 3674.27400000|139.72323809925|-61.38703397048
128.58868197484|-61.38476908210|5301902969596461184| 1.05789676526469001e+00|-4.881882611210699885e+00| 2.964748303954249931e+00| -11.6951075941331001928| 350|12.6615700| 8.087892500e-01| 1.00000|UBC_255          | 6687.84472656|128.58872586316|-61.38478184698
128.39905331741|-61.37547476868|5301903759870368640| 1.04256532406841007e+00|-4.812180943312689863e+00| 3.032024316621389826e+00|                        | 308|12.9852330| 9.009228000e-01| 1.00000|UBC_255          | 6565.84423828|128.39909656626|-61.37548782322
120.84274895998|-61.36651762041|5289932277265953280| 2.29268635315728986e+00|-6.055720429422540185e+00| 1.123989993768939932e+01|  21.4795932468643009372| 334|12.8763290| 9.284153000e-01| 0.70000|NGC_2516         | 6141.56640000|120.84280336945|-61.36656601441
128.54016308510|-61.35305244817|5301903278834041344| 1.08172606084776990e+00|-4.863502419621389627e+00| 2.965890586226390013e+00| -12.7468530477504007337| 327|10.6430100| 1.357418100e+00| 1.00000|UBC_255          | 4717.37890625|128.54020676387|-61.35306521797
121.13929660975|-61.34479131355|5289930181318610432| 2.38849083082018021e+00|-5.996325742897149702e+00| 1.128566286141660058e+01|                        | 264|10.7649170| 4.116087000e-01| 0.80000|NGC_2516         | 7723.16500000|121.13935044818|-61.34483990458
120.29365240835|-61.34420923561|5289976360810053888| 2.43985260218396993e+00|-4.421603315830830105e+00| 1.114044364186720060e+01|                        | 396|14.1571150| 1.189249000e+00| 0.70000|NGC_2516         | 5215.41060000|120.29369210728|-61.34425720140
127.96097324718|-61.34097557162|5301894517100105472| 1.08382016311990004e+00|-4.976670650456609835e+00| 2.879918858454059816e+00|                        | 385|15.1231810| 1.058986700e+00| 1.00000|UBC_255          | 5716.06640625|127.96101792507|-61.34098797127
129.13168273022|-61.33681170985|5301155645287785472| 9.80506675726884991e-01|-5.041618203038909840e+00| 2.524416138466250015e+00|                        | 372|16.0838050| 1.491320600e+00| 1.00000|UBC_255          | 4575.08203125|129.13172798515|-61.33682257886
128.07619273587|-61.32615401498|5301895891489646080| 1.02831742139691995e+00|-4.949227952594910107e+00| 2.908103824064820042e+00|                        | 366|14.0709560| 8.989839600e-01| 1.00000|UBC_255          | 6283.10742188|128.07623714638|-61.32616653598
119.98416898329|-61.32024360559|5289898020605414016| 2.36203622004099989e+00|-4.712546041542889697e+00| 1.173343984045049915e+01|  22.5911746235461983190| 413|12.6348590| 8.862591000e-01| 0.90000|NGC_2516         | 6126.11130000|119.98421126208|-61.32029412456
