#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-09-14T19:24:58 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59bad7682fd5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/MNRAS/383/1588&tab:{J/MNRAS/383/1588/table1}&key:source=J/MNRAS/383/1588&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/383/1588/table1
#-order=I
#-out=[IHA2008]
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=Icmag
#-out=Per
#-out=Iamp
#-out=Mass
#-out=Rad
#

#RESOURCE=yCat_73831588
#Name: J/MNRAS/383/1588
#Title: VIc photometry of NGC 2547 low-mass stars (Irwin+, 2008)
#Table	J_MNRAS_383_1588_table1:
#Name: J/MNRAS/383/1588/table1
#Title: Properties of our 176 rotation candidates
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	[IHA2008]	(a14)	Identifier (N2547-N-N-NNNN) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F5.2)	Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Per	(F6.3)	Period	[ucd=time.period]
#Column	Iamp	(F6.3)	I-band amplitude in the instrumental bandpass	[ucd=src.var.amplitude;em.opt.I]
#Column	Mass	(F5.2)	Interpolated mass (2)	[ucd=phys.mass]
#Column	Rad	(F5.2)	Interpolated radius (2)	[ucd=phys.size.radius]
_RAJ2000|_DEJ2000|[IHA2008]|RAJ2000|DEJ2000|Vmag|Icmag|Per|Iamp|Mass|Rad
deg|deg| |"h:m:s"|"d:m:s"|mag|mag|d|mag|solMass|solRad
---------|---------|--------------|-----------|-----------|-----|-----|------|------|-----|-----
122.83621|-48.82292|N2547-1-1-2501|08 11 20.69|-48 49 22.5|17.97|15.55| 2.758| 0.014| 0.44| 0.56
122.88496|-48.80028|N2547-1-1-3141|08 11 32.39|-48 48 01.0|17.78|15.43| 9.523| 0.009| 0.47| 0.59
122.99858|-48.78244|N2547-1-1-3640|08 11 59.66|-48 46 56.8|15.58|14.01| 3.213| 0.038| 0.76| 0.82
122.84396|-48.77494|N2547-1-1-3903|08 11 22.55|-48 46 29.8|14.90|13.57| 0.991| 0.005| 0.81| 0.89
122.94546|-48.74833|N2547-1-1-4637|08 11 46.91|-48 44 54.0|17.16|14.83| 3.071| 0.024| 0.61| 0.69
122.81783|-48.74203|N2547-1-1-4871|08 11 16.28|-48 44 31.3|15.38|13.72|14.467| 0.008| 0.80| 0.86
122.83542|-48.73772|N2547-1-1-4975|08 11 20.50|-48 44 15.8|18.60|16.00| 1.120| 0.019| 0.34| 0.49
122.82587|-48.68883|N2547-1-1-6439|08 11 18.21|-48 41 19.8|16.67|14.47| 0.375| 0.006| 0.68| 0.76
123.00317|-48.68722|N2547-1-1-6447|08 12 00.76|-48 41 14.0|16.26|14.58| 0.497| 0.004| 0.66| 0.74
122.78008|-48.88506|N2547-1-2-709 |08 11 07.22|-48 53 06.2|17.09|14.73| 3.312| 0.018| 0.63| 0.71
122.72079|-48.87558|N2547-1-2-977 |08 10 52.99|-48 52 32.1|19.41|16.58|10.312| 0.017| 0.24| 0.40
122.74754|-48.85758|N2547-1-2-1499|08 10 59.41|-48 51 27.3|19.00|16.41| 1.470| 0.011| 0.27| 0.42
122.68833|-48.86197|N2547-1-2-1660|08 10 45.20|-48 51 43.1|18.87|15.98| 1.066| 0.028| 0.34| 0.49
122.77142|-48.82086|N2547-1-2-2678|08 11 05.14|-48 49 15.1|19.01|16.35| 2.408| 0.006| 0.28| 0.43
122.62112|-48.82558|N2547-1-2-2857|08 10 29.07|-48 49 32.1|17.51|15.23|24.291| 0.009| 0.52| 0.63
122.62429|-48.75414|N2547-1-2-4904|08 10 29.83|-48 45 14.9|16.95|14.59| 0.401| 0.021| 0.66| 0.74
