TIC,GAIAEDR3_G,Prot1,Pw1,Q1,Sig,ClosestNeighbor,LitPeriod,LitSource,Cluster,to_plot
460794838,17.323,-9999,-9999,3,0.022,4.23,,,IC_2602,1
93269415,17.276,-9999,-9999,3,0.031,5.43,,,IC_2391,1
174956845,17.258,-9999,-9999,3,0.03,6.13,,,NGC_2451A,1
175691220,17.254,-9999,-9999,3,0.03,7.01,,,NGC_2451A,1
281421882,17.195,-9999,-9999,3,0.025,14.07,,,Collinder_135,1
113668827,17.189,-9999,-9999,3,0.028,7.4,,,NGC_2451A,1
284592140,17.187,-9999,-9999,3,0.023,15.73,,,Collinder_135,1
131245411,17.162,-9999,-9999,3,0.028,6.46,,,NGC_2451A,1
238564187,17.144,-9999,-9999,3,0.023,7.77,,,NGC_2547,1
93554453,17.127,-9999,-9999,3,0.029,3.72,,,IC_2391,1
460827760,17.073,-9999,-9999,3,0.023,5.25,,,IC_2602,1
93554205,17.07,-9999,-9999,3,0.032,1.61,,,IC_2391,1
238644267,17.043,-9999,-9999,3,0.024,10.05,,,NGC_2547,1
173817065,17.009,-9999,-9999,3,0.03,6.7,,,Collinder_135,1
465462490,16.988,-9999,-9999,3,0.026,4.43,,,IC_2602,1
22731763,16.947,-9999,-9999,3,0.023,3.37,,,Collinder_135,1
93267903,16.933,-9999,-9999,3,0.028,8.52,,,IC_2391,1
173183248,16.932,-9999,-9999,3,0.027,4.83,,,Collinder_135,1
22973476,16.927,-9999,-9999,3,0.028,3.11,,,Collinder_135,1
175530344,16.877,-9999,-9999,3,0.029,5.3,,,NGC_2451A,1
175261524,16.871,-9999,-9999,3,0.03,12.6,,,NGC_2451A,1
93011540,16.85,-9999,-9999,3,0.031,5.76,,,IC_2391,1
464938705,16.841,-9999,-9999,3,0.025,3.49,,,IC_2602,1
174465447,16.823,-9999,-9999,3,0.029,8.59,,,NGC_2451A,1
149681188,16.821,-9999,-9999,3,0.031,5.97,,,NGC_2451A,0
238726008,16.769,-9999,-9999,3,0.026,4.87,9.52,irwin2008,NGC_2547,1
175016982,16.75,-9999,-9999,3,0.032,10.68,,,NGC_2451A,1
174872908,16.742,-9999,-9999,3,0.032,16.71,,,NGC_2451A,1
174470650,16.67,-9999,-9999,3,0.032,17.08,,,NGC_2451A,1
174544347,16.666,-9999,-9999,3,0.028,2.76,,,NGC_2451A,1
378959873,16.659,-9999,-9999,3,0.025,5.11,,,IC_2602,0
175302348,16.606,-9999,-9999,3,0.04,7.87,,,NGC_2451A,1
175382279,16.584,-9999,-9999,3,0.027,13.43,,,NGC_2451A,1
398919018,16.539,-9999,-9999,3,0.024,3.84,,,IC_2602,0
131747006,16.466,-9999,-9999,3,0.03,1.27,,,NGC_2451A,1
175384965,16.43,-9999,-9999,3,0.05,2.94,,,NGC_2451A,1
131795872,16.419,-9999,-9999,3,0.026,11.55,,,NGC_2451A,0
238668344,16.389,-9999,-9999,3,0.023,2.84,,,NGC_2547,1
97921346,16.328,-9999,-9999,3,0.022,13.78,,,Collinder_135,1
22639239,16.327,-9999,-9999,3,0.024,7.61,,,Collinder_135,1
23160304,16.138,-9999,-9999,3,0.023,4.51,,,Collinder_135,1
173183245,16.043,-9999,-9999,3,0.033,4.64,,,Collinder_135,1
132166005,15.711,-9999,-9999,3,0.028,4.16,,,NGC_2451A,0
23038386,15.694,-9999,-9999,3,0.021,11.02,,,Collinder_135,1
174287121,15.682,-9999,-9999,3,0.03,12.4,,,NGC_2451A,0
23030822,15.668,-9999,-9999,3,0.028,7.31,,,Collinder_135,1
22936037,15.322,-9999,-9999,3,0.024,8.18,,,Collinder_135,1
281422528,15.109,-9999,-9999,3,0.022,0.85,,,Collinder_135,1
460042668,15.099,-9999,-9999,3,0.024,4.33,,,IC_2602,0
175182771,14.862,-9999,-9999,3,0.029,6.93,,,NGC_2451A,1
465296988,14.796,-9999,-9999,3,0.025,4.62,,,IC_2602,1
465833109,14.738,-9999,-9999,3,0.024,6.26,,,IC_2602,0
466736533,14.698,-9999,-9999,3,0.028,1.46,,,IC_2602,0
175026133,14.623,-9999,-9999,3,0.03,3.2,,,NGC_2451A,1
466030199,14.368,-9999,-9999,3,0.026,6.5,,,IC_2602,0
131344612,12.075,-9999,-9999,3,0.029,9.11,,,NGC_2451A,1
