#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-19T19:24:19 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-19T19:24:19	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/532/A10&tab:{J/A+A/532/A10/stars}&key:source=J/A+A/532/A10/stars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/532/A10/stars
#-order=I
#-out=Assoc
#-out=P
#-out=Target
#-out=ASAS
#-out=Per
#-out=n_Per
#-out=e_Per
#-out=TS
#-out=Qual
#-out=Vamp
#-out.all=2
#-out=Vsig
#-out=Vmin
#-out=B-V
#-out=n_B-V
#-out=SpType
#-out=Note
#-out=VName
#-out=OName
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=r_Vmag
#-out=(B-V)
#-out.all=2
#-out=(V-I)
#-out=r_(V-I)
#-out=VMAG
#-out=Dist
#-out=l_vsini
#-out=vsini
#-out=Mass
#-out=Rad
#-out=SpT.l
#-out=MGR
#-out=n_Vmag
#-out.all=2
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35320010
#Name: J/A+A/532/A10
#Title: RACE-OC project. II. (Messina+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/532/a10	
#INFO	publisher=CDS	
#INFO	creator=Messina S.	
#INFO	related_resource=bibcode:2011A&A...532A..10M	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/532/A10	
#INFO	publication_id=doi:10.26093/cds/vizier.35320010	
#INFO	publication_date=2017-06-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_532_A10_stars:
#Name: J/A+A/532/A10/stars
#Title: Data about the studied stars,  including results from the literature and physical data derived from  evolutionary tracks
#Column	Assoc	(A7)	Association name	[ucd=meta.id.parent]
#Column	P	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Target	(a15)	Target name	[ucd=meta.id;meta.main]
#Column	ASAS	(A13)	ASAS name (HHMMSS.ss+DDMM.m, J2000)	[ucd=meta.id]
#Column	Per	(F6.3)	? Period	[ucd=time.period]
#Column	n_Per	(A1)	[bc] Undetected or inconsistent period (1)	[ucd=meta.note]
#Column	e_Per	(F6.3)	? rms uncertainty on Per	[ucd=stat.error]
#Column	TS	(A9)	? Timeseries sections	[ucd=meta.note]
#Column	Qual	(A1)	[CLU] Quality for Confirmed, Likely, Undertain	[ucd=meta.code.qual]
#Column	Vamp	(F5.2)	? V-band maximum peak-to-peak light curve amplitude	[ucd=src.var.amplitude;em.opt.V;stat.max]
#Column	Vsig	(F5.2)	? Photometric precision	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Vmin	(F5.2)	Minimum V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	n_B-V	(A2)	[ad Av] Note on B-V (2)	[ucd=meta.note]
#Column	SpType	(a6)	MK spectral type	[ucd=src.spType]
#Column	Note	(a10)	Note about binarity or period origin (3)	[ucd=meta.note]
#Column	VName	(a9)	Variable name	[ucd=meta.id]
#Column	OName	(a23)	Other name (IC 2391 cluster only)	[ucd=meta.id]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	[ATLP] Reference for Vmag (2)	[ucd=meta.ref;pos.frame]
#Column	(B-V)	(F5.2)	? B-V colour index (from literature)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-I)	(F5.2)	? V-I colour index (from literature)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	r_(V-I)	(I1)	[0/7] Reference for V-I and B-V (3)	[ucd=meta.ref;pos.frame]
#Column	VMAG	(F5.2)	Absolute V magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	Dist	(F5.1)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	vsini	(F6.2)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	Mass	(F4.1)	? Mass	[ucd=phys.mass]
#Column	Rad	(F5.2)	? Radius	[ucd=phys.size.radius]
#Column	SpT.l	(a7)	MK spectral type from literature	[ucd=src.spType]
#Column	MGR	(a7)	Membership to association (1)	[ucd=meta.id.parent]
#Column	n_Vmag	(A2)	[Av] Av when corrected for extinction	[ucd=meta.note]
Assoc|P|Target|ASAS|Per|n_Per|e_Per|TS|Qual|Vamp|Vsig|Vmin|B-V|n_B-V|SpType|Note|VName|OName|RAJ2000|DEJ2000|Vmag|r_Vmag|(B-V)|(V-I)|r_(V-I)|VMAG|Dist|l_vsini|vsini|Mass|Rad|SpT.l|MGR|n_Vmag
 | | | |d| |d| | |mag|mag|mag|mag| | | | | |"h:m:s"|"d:m:s"|mag| |mag|mag| |mag|pc| |km/s|Msun|Rsun| | |
-------|-|---------------|-------------|------|-|------|---------|-|-----|-----|-----|-----|--|------|----------|---------|-----------------------|-----------|------------|-----|-|-----|-----|-|-----|-----|-|------|----|-----|-------|-------|--
eps Cha|P|CP-68 1388     |105749-6914.0| 3.560| | 0.030|12(13)/15|C| 0.25| 0.03|10.38| 0.86|Av|K1V(e)|new       |         |                       |10 57 49.30|-69 14 00.00|10.04|A| 0.86| 0.93|0| 4.79|112.0| | 25.90| 1.1| 1.60|K1V(e) |eps Cha|Av
eps Cha|P|GSC 9419-01065 |114932-7851.0| 8.000|c| 0.100| 4(10)/12|U| 0.37| 0.03|12.61| 1.27|Av|M0Ve  |new       |DZ Cha   |                       |11 49 31.90|-78 51 01.00|11.90|A| 1.27| 1.80|0| 8.31| 52.0| | 18.00| 0.7| 1.00|M0Ve   |eps Cha|Av
eps Cha|P|HIP 58285      |115715-7921.5|      | |      |         | |     |     |12.00| 0.93|d |K0e   |---       |T Cha    |                       |11 57 13.50|-79 21 32.00|10.19|A| 0.93| 0.88|2| 6.09| 66.0| | 39.00| 0.9| 0.90|K0e    |eps Cha|Av
eps Cha|P|HIP 58490      |115942-7601.4| 8.000| | 0.100| 7(11)/13|C| 0.20| 0.03|11.02| 1.11|Av|K4Ve  |new       |         |                       |11 59 42.30|-76 01 26.00|10.65|A| 1.02| 1.11|0| 5.80| 93.0| | 10.20| 1.0| 1.25|K4Ve   |eps Cha|Av
eps Cha| |HD 104237E     |120005-7811.6| 2.450| |      | 1    / 1|U|     |     |12.08| 1.11|d |K4Ve  |B; Plit   |         |                       |12 00 09.30|-78 11 42.00|10.28|T| 1.11| 1.11|2| 4.95|116.0| | 30.00| 1.1| 1.40|K4Ve   |eps Cha|Av
eps Cha|P|HD 104467      |120139-7859.3| 4.430| | 0.040| 4( 8)/13|L| 0.05| 0.03| 8.45| 0.63|Av|G3V(e)|new       |         |                       |12 01 39.10|-78 59 17.00| 8.32|A| 0.63| 0.68|0| 3.23|104.0| | 22.20| 1.1| 1.80|G3V(e) |eps Cha|Av
eps Cha|P|GSC 9420-0948  |120204-7853.1| 4.450| | 0.040|11(13)/13|C| 0.48| 0.03|12.30| 1.00|Av|M0e   |new       |         |                       |12 02 03.80|-78 53 01.00|11.02|A| 1.00| 1.40|1| 5.62|120.0| | 12.00| 1.1| 1.60|K7e    |eps Cha|Av
eps Cha|P|GSC 9416-1029  |120437-7731.6| 5.350| |      | 1    / 1|U|     |     |13.81| 1.30|Av|M2e   |SB2; Plit |         |                       |12 04 36.20|-77 31 35.00|13.16|A| 1.30| 2.16|1| 7.71|123.0| |  6.00| 0.7| 1.40|M2e    |eps Cha|Av
eps Cha|P|HD 105923      |121138-7110.6| 5.050| | 0.050|11(13)/14|C| 0.07| 0.03| 9.07| 0.73|Av|G8V   |new       |         |                       |12 11 38.10|-71 10 36.00| 8.97|A| 0.73| 0.80|0| 3.66|115.0| | 13.10| 1.1| 1.80|G8V    |eps Cha|Av
eps Cha|P|GSC 9239-1495  |121944-7403.9|      | |      |         | |     |     |12.54| 1.28|Av|M0e   |---       |         |                       |12 19 43.50|-74 03 57.00|12.06|A| 1.28| 1.80|1| 6.95|105.0| |      | 1.0| 1.40|M0e    |eps Cha|Av
eps Cha|P|GSC 9239-1572  |122023-7407.7| 1.536| | 0.002| 9( 8)/ 9|C| 0.30| 0.03|12.85| 0.97|Av|M1V   |V; new    |         |                       |12 20 21.90|-74 07 39.00|11.50|A| 0.97| 1.40|1| 6.29|110.0| | 41.00| 1.0| 1.30|K7Ve   |eps Cha|Av
eps Cha|P|GSC 9235-1702  |122105-7116.9| 6.850| | 0.050| 9(14)/14|C| 0.25| 0.02|11.62| 1.20|d |K7V   |P=Plit    |         |                       |12 21 04.99|-71 16 49.27|11.62|A| 1.20| 1.60|2| 7.80| 58.0| |      | 0.8| 0.90|K7V    |eps Cha|
eps Cha|P|CD-74 712      |123921-7502.7| 3.970| | 0.030|23(24)/25|C| 0.13| 0.03|10.22| 0.97|  |K3Ve  |new       |         |                       |12 39 21.20|-75 02 39.00|10.22|A| 0.97| 1.08|0| 5.16|103.0| | 20.20| 1.0| 1.50|K3Ve   |eps Cha|
eps Cha|P|CD-69 1055     |125826-7028.8| 2.007| | 0.007| 8(13)/15|C| 0.10| 0.03| 9.91| 0.83|Av|K0Ve  |new       |         |                       |12 58 25.60|-70 28 49.00| 9.57|A| 0.83| 0.88|0| 4.54|101.0| | 24.30| 1.1| 1.40|K0Ve   |eps Cha|Av
eps Cha|P|TYC 9246-971-1 |132208-6938.2| 3.750| | 0.030| 9(14)/15|C| 0.13| 0.03|10.31| 0.86|Av|K1Ve  |new       |MP Mus   |                       |13 22 07.60|-69 38 12.00| 9.95|A| 0.86| 0.93|0| 4.88|103.0| | 14.20| 1.1| 1.40|K1Ve   |eps Cha|Av
eta Cha|P|RECX 1         |083656-7856.8| 4.500| | 0.040|12(12)/15|C| 0.13| 0.03|10.36| 1.19|  |K4V   |V; P=2Plit|EG Cha   |                       |08 36 56.20|-78 56 46.00|10.36|A| 1.19| 1.39|3| 5.41| 97.3| | 21.70| 1.0| 1.80|K4Ve   |eta Cha|
