edr3_col, hdbscan_col
ra, GAIAEDR3_RA
ra_error, GAIAEDR3_RA_ERROR
dec, GAIAEDR3_DEC
dec_error, GAIAEDR3_DEC_ERROR
parallax, GAIAEDR3_PARALLAX
parallax_error, GAIAEDR3_PARALLAX_ERROR
parallax_over_error, GAIAEDR3_PARALLAX_OVER_ERROR
pm, GAIAEDR3_PMRA_ERROR
pmra, GAIAEDR3_PMRA
pmra_error, GAIAEDR3_PMRA_ERROR
pmdec, GAIAEDR3_PMDEC
pmdec_error, GAIAEDR3_PMDEC_ERROR
astrometric_gof_al, GAIAEDR3_IPD_GOF_HARMONIC_AMPLITUDE
astrometric_params_solved, GAIAEDR3_ASTROMETRIC_PARAMS_SOLVED
pseudocolour, GAIAEDR3_PSEUDOCOLOUR
pseudocolour_error, GAIAEDR3_PSEUDOCOLOUR_ERROR
visibility_periods_used, GAIAEDR3_VISIBILITY_PERIODS_USED
ruwe, GAIAEDR3_RUWE
phot_g_mean_mag, GAIAEDR3_G
phot_bp_mean_mag, GAIAEDR3_BP
phot_rp_mean_mag, GAIAEDR3_RP
phot_bp_rp_excess_factor, GAIAEDR3_PHOT_BP_RP_EXCESS_FACTOR
phot_g_mean_mag_error, GAIAEDR3_G_ERR
phot_bp_mean_mag_error, GAIAEDR3_BP_ERR
phot_rp_mean_mag_error, GAIAEDR3_RP_ERR
phot_g_mean_mag_corrected, GAIAEDR3_G_CORRECTED
phot_bp_rp_excess_factor_corrected,GAIAEDR3_PHOT_BP_RP_EXCESS_FACTOR_CORRECTED
