Name,Cluster,Source,LitPeriod,TIC,GaiaDR2,SimbadName
VXR 12,IC 2391,patten1996,3.86,93549309,5318545521198976000,VXR PSPC 12
VXR 14,IC 2391,patten1996,1.32,93551206,5318096125872352768,VXR PSPC 14
VXR 35a,IC 2391,patten1996,0.527,93833881,5318474941990522368,VXR PSPC 35a
VXR 38a,IC 2391,patten1996,2.78,93832681,5318501334573605504,VXR PSPC 38a
VXR 41,IC 2391,patten1996,5.8,93832296,5318504426950057728,VXR PSPC 41
VXR 42a,IC 2391,patten1996,1.81,93912428,5318503533597353856,VXR PSPC 42a
VXR 45a,IC 2391,patten1996,0.223,93912319,5318500303781947776,VXR PSPC 45a
VXR 47,IC 2391,patten1996,0.258,93911997,5318498688873909632,VXR PSPC 47
VXR 60a,IC 2391,patten1996,0.93,812594503,5318510336826176384,Cl* IC 2391 SHJM 4
VXR 60b,IC 2391,patten1996,0.212,94184691,5318510332522027008,Cl* IC 2391 SHJM 5
VXR 62a,IC 2391,patten1996,0.503,94185535,5318532735067774848,VXR PSPC 62a
VXR 64a,IC 2391,patten1996,0.543,94184640,5318511539417031040,VXR PSPC 64a
VXR 70,IC 2391,patten1996,2.67,94184909,5318512260971706496,VXR PSPC 70
VXR 72,IC 2391,patten1996,3.23,144752281,5318521671232021632,VXR PSPC 72
VXR 76a,IC 2391,patten1996,4.86,144759493,5318328676892604800,VXR PSPC 76a
VXR 77a,IC 2391,patten1996,0.653,144993360,5318630905148648704,VXR PSPC 77a
R59,IC 2602,tschape2001,1.31,390444472,5239913019452422784,[RSP95] 59
B134,IC 2602,tschape2001,6.7,391252409,5239837389332955520,IC 2602 134
B134,IC 2602,barnes1996,6.8,391252409,5239837389332955520,IC 2602 134
W79,IC 2602,barnes1996,6.2,390359863,5239723525484923904,Cl* IC 2602 W79
R15,IC 2602,barnes1996,3.6,460651946,5251817878512713472,[RSP95] 15
R21,IC 2602,barnes1996,,460796730,5251760463362641408,[RSP95] 21
R24A,IC 2602,barnes1996,1.25,460823191,5251802519709841280,[RSP95] 24
R26,IC 2602,barnes1996,5.7,460823505,5251805715165696384,[RSP95] 26
R27,IC 2602,barnes1996,4.5,460951259,5239746271633131904,[RSP95] 27
R29,IC 2602,barnes1996,2.21,460950389,5239758155778687360,[RSP95] 29
R31,IC 2602,barnes1996,0.49,460960270,5239757262427321728,[RSP95] 31
R32,IC 2602,barnes1996,4.0,460982877,5251903880939228544,[RSP95] 32
R38,IC 2602,barnes1996,,461123851,5239770048573745152,[RSP95] 38
R43,IC 2602,barnes1996,0.78,464902649,5239897931195331328,[RSP95] 43
R44,IC 2602,barnes1996,5.5,464900632,5239935490722112256,[RSP95] 44
R50,IC 2602,barnes1996,6.4,389987696,5239766333394663296,[RSP95] 50
R52,IC 2602,barnes1996,0.393,389987648,5239771349915805952,[RSP95] 52
R53B,IC 2602,barnes1996,0.41,389989680,5239874639622803328,[RSP95] 53B
R56,IC 2602,barnes1996,4.1,390358373,5239868587976272896,[RSP95] 56
R57,IC 2602,barnes1996,8.7,390441021,5239819835835866112,[RSP95] 57
R58,IC 2602,"barnes1996,tschape2001",0.57,390442286,5239830143757924992,[RSP95] 58
