TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
22528962,CDIPS,7,PCA1,1.0468,0.0378,0.0233
22528962,CDIPS,7,PCA1,1.1156,0.2182,0.0233
22528962,CDIPS,7,PCA2,3.8819,0.0224,0.0218
22528962,CDIPS,7,PCA2,4.9419,0.029,0.0218
22528962,CDIPS,7,PCA2,1.1955,0.0359,0.0218
22528962,CDIPS,7,PCA2,1.1169,0.1923,0.0218
22528962,CDIPS,7,PCA3,2.8669,0.0299,0.0214
22528962,CDIPS,7,PCA3,2.0981,0.0537,0.0214
22528962,CDIPS,7,PCA3,1.1215,0.0554,0.0214
22528962,CDIPS,7,PCA3,3.8669,0.0608,0.0214
22528962,CDIPS,7,PCA3,5.5032,0.1078,0.0214
22528962,CDIPS,7,PCA3,8.7866,0.1172,0.0214
22528962,CDIPS,7,TFA1,1.0479,0.0292,0.025
22528962,CDIPS,7,TFA1,1.1185,0.1732,0.025
22528962,CDIPS,7,TFA2,1.049,0.0349,0.023
22528962,CDIPS,7,TFA2,1.1165,0.1346,0.023
22528962,CDIPS,7,TFA3,1.1231,0.0427,0.0238
22528962,PATHOS,7,ap1_flux_cor,4.9177,0.0264,0.0234
22528962,PATHOS,7,ap1_flux_cor,8.2781,0.0681,0.0234
22528962,PATHOS,7,ap1_flux_cor,38.5569,0.9316,0.0234
22528962,PATHOS,7,psf_flux_cor,4.9257,0.0259,0.0254
22528962,PATHOS,7,psf_flux_cor,8.2781,0.0782,0.0254
22528962,PATHOS,7,psf_flux_cor,37.592,0.9549,0.0254
22529649,PATHOS,7,ap1_flux_cor,3.9482,0.0235,0.0231
22529649,PATHOS,7,ap1_flux_cor,14.8787,0.0267,0.0231
22529649,PATHOS,7,ap1_flux_cor,2.5017,0.7426,0.0231
22529649,PATHOS,7,ap2_flux_cor,2.4954,0.536,0.0233
22529649,PATHOS,7,ap3_flux_cor,2.9601,0.0414,0.023
22529649,PATHOS,7,ap3_flux_cor,2.4872,0.2874,0.023
22529649,PATHOS,7,psf_flux_cor,13.914,0.05,0.0224
22529649,PATHOS,7,psf_flux_cor,2.5017,0.7018,0.0224
22530128,CDIPS,7,PCA1,6.3661,0.0261,0.025
22530128,CDIPS,7,PCA3,16.6981,0.0349,0.0242
22530128,CDIPS,7,PCA3,3.8033,0.0393,0.0242
22530128,CDIPS,7,PCA3,8.4647,0.1476,0.0242
