target_name,provenance_name,flux_cols,sequence_number,obs_id,productFilename,author,fund_periods,fund_powers,sig_periods,sig_powers,sec_periods,sec_powers,thresholds,tics,num_sig_peaks,harm_types,clean60,clean30,clean10,clean,half,dbl,period_short,power_short,SpotEvol,MultiProt,Blended,Q,Q2,Q3,Select,Notes,Gaia issue
44999952,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3077,0.2501,0.3077,0.2501,0.3025,0.0649,0.028966,44999952,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,m,n,y,0,2,2,y,,
44999952,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3078,0.1518,0.3078,0.1518,0.7382,0.0488,0.031467,44999952,2,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
44999952,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3078,0.0509,0.3078,0.0509,0.7387,0.0326,0.030359,44999952,1,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
44999952,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3078,0.1991,0.3078,0.1991,0.313,0.059,0.030424,44999952,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
44999952,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3076,0.1069,0.3076,0.1069,0.3025,0.0333,0.03166,44999952,1,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
44999952,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317681678714511232-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3078,0.0417,0.3078,0.0417,-9999,-9999,0.034141,44999952,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,,
45050711,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.7759,0.1612,0.7759,0.1612,4.6512,0.0904,0.02757,45050711,6,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
45050711,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.7741,0.1201,0.7741,0.1201,0.8098,0.0645,0.030586,45050711,6,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,m,n,y,0,2,2,y,longer period probably systematics,
45050711,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,4.9016,0.1971,4.9016,0.1971,2.3695,0.179,0.029122,45050711,4,half-maybe,FALSE,FALSE,FALSE,FALSE,1,0,-99,-99,,,,,,,,,
45050711,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005317838088544453760-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.7763,0.131,0.7763,0.131,0.8111,0.0434,0.027916,45050711,2,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,,
