TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
269536033,CDIPS,9,PCA1,4.3357,0.0266,0.0234
269536033,CDIPS,9,PCA1,3.1461,0.0376,0.0234
269536033,CDIPS,9,PCA1,2.3058,0.0638,0.0234
269536033,CDIPS,9,PCA1,0.2327,0.0887,0.0234
269536033,CDIPS,9,PCA1,2.6425,0.2362,0.0234
269536033,CDIPS,9,PCA1,1.7427,0.4505,0.0234
269536033,CDIPS,9,PCA2,3.1997,0.0309,0.0238
269536033,CDIPS,9,PCA2,1.9421,0.0844,0.0238
269536033,CDIPS,9,PCA2,0.2327,0.1382,0.0238
269536033,CDIPS,9,PCA2,2.6518,0.2681,0.0238
269536033,CDIPS,9,PCA2,1.7468,0.3651,0.0238
269536033,CDIPS,9,PCA3,3.1694,0.0417,0.0239
269536033,CDIPS,9,PCA3,2.6565,0.1823,0.0239
269536033,CDIPS,9,PCA3,0.2327,0.2254,0.0239
269536033,CDIPS,9,PCA3,1.7478,0.2997,0.0239
269536033,CDIPS,9,TFA1,2.2988,0.0465,0.0232
269536033,CDIPS,9,TFA1,1.9409,0.0639,0.0232
269536033,CDIPS,9,TFA1,2.6565,0.0977,0.0232
269536033,CDIPS,9,TFA1,0.2328,0.1043,0.0232
269536033,CDIPS,9,TFA1,1.7417,0.2531,0.0232
269536033,CDIPS,9,TFA2,1.9446,0.0354,0.0247
269536033,CDIPS,9,TFA2,2.6103,0.0522,0.0247
269536033,CDIPS,9,TFA2,1.7468,0.1541,0.0247
269536033,CDIPS,9,TFA2,0.2326,0.18,0.0247
269536033,CDIPS,9,TFA3,1.9459,0.0243,0.0209
269536033,CDIPS,9,TFA3,2.6402,0.0375,0.0209
269536033,CDIPS,9,TFA3,1.7407,0.1147,0.0209
269536033,CDIPS,9,TFA3,0.2326,0.2727,0.0209
269536033,CDIPS,10,PCA1,1.4219,0.0357,0.0287
269536033,CDIPS,10,PCA1,0.2327,0.0679,0.0287
269536033,CDIPS,10,PCA1,1.5905,0.0744,0.0287
269536033,CDIPS,10,PCA1,2.2865,0.1341,0.0287
269536033,CDIPS,10,PCA1,2.6332,0.3011,0.0287
269536033,CDIPS,10,PCA1,1.7488,0.373,0.0287
269536033,CDIPS,10,PCA2,1.4259,0.0288,0.0244
269536033,CDIPS,10,PCA2,4.0768,0.0328,0.0244
269536033,CDIPS,10,PCA2,0.2296,0.0414,0.0244
269536033,CDIPS,10,PCA2,1.5896,0.0602,0.0244
269536033,CDIPS,10,PCA2,1.9346,0.0905,0.0244
269536033,CDIPS,10,PCA2,2.2988,0.0932,0.0244
269536033,CDIPS,10,PCA2,0.2326,0.2113,0.0244
269536033,CDIPS,10,PCA2,2.6355,0.2739,0.0244
269536033,CDIPS,10,PCA2,1.7488,0.2933,0.0244
269536033,CDIPS,10,PCA3,1.4185,0.0298,0.0242
269536033,CDIPS,10,PCA3,0.2358,0.0499,0.0242
269536033,CDIPS,10,PCA3,1.5854,0.0537,0.0242
269536033,CDIPS,10,PCA3,2.5991,0.1137,0.0242
269536033,CDIPS,10,PCA3,1.7468,0.2468,0.0242
269536033,CDIPS,10,PCA3,0.2326,0.2881,0.0242
269536033,CDIPS,10,TFA1,1.4145,0.0332,0.0278
269536033,CDIPS,10,TFA1,1.9334,0.0523,0.0278
269536033,CDIPS,10,TFA1,1.5998,0.0532,0.0278
269536033,CDIPS,10,TFA1,2.2796,0.0781,0.0278
269536033,CDIPS,10,TFA1,2.6172,0.0852,0.0278
269536033,CDIPS,10,TFA1,0.2326,0.0891,0.0278
269536033,CDIPS,10,TFA1,1.7498,0.2017,0.0278
269536033,CDIPS,10,TFA2,1.5763,0.0695,0.0232
269536033,CDIPS,10,TFA2,1.7377,0.1561,0.0232
269536033,CDIPS,10,TFA2,0.2327,0.2496,0.0232
269536033,CDIPS,10,TFA3,1.5871,0.0241,0.0234
269536033,CDIPS,10,TFA3,2.5901,0.0251,0.0234
269536033,CDIPS,10,TFA3,1.7478,0.0485,0.0234
269536033,CDIPS,10,TFA3,0.2358,0.064,0.0234
269536033,CDIPS,10,TFA3,0.2326,0.3549,0.0234
269536033,CDIPS,11,PCA1,1.3401,0.0257,0.0189
269536033,CDIPS,11,PCA1,1.4259,0.0278,0.0189
269536033,CDIPS,11,PCA1,0.2326,0.054,0.0189
269536033,CDIPS,11,PCA1,2.6217,0.3363,0.0189
269536033,CDIPS,11,PCA1,1.7327,0.3398,0.0189
269536033,CDIPS,11,PCA2,1.3335,0.0219,0.0216
269536033,CDIPS,11,PCA2,1.4199,0.0224,0.0216
269536033,CDIPS,11,PCA2,0.2326,0.1194,0.0216
