TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
113449635,CDIPS,8,PCA1,6.3661,0.0302,0.0299
113449635,CDIPS,8,PCA1,4.0991,0.0486,0.0299
113449635,CDIPS,8,PCA1,2.2371,0.1917,0.0299
113449635,CDIPS,8,PCA1,2.557,0.6474,0.0299
113449635,CDIPS,8,PCA2,4.3357,0.0662,0.0283
113449635,CDIPS,8,PCA2,2.2421,0.1656,0.0283
113449635,CDIPS,8,PCA2,3.0136,0.2845,0.0283
113449635,CDIPS,8,PCA2,2.5723,0.6068,0.0283
113449635,CDIPS,8,PCA3,1.6636,0.031,0.0283
113449635,CDIPS,8,PCA3,1.5282,0.0532,0.0283
113449635,CDIPS,8,PCA3,2.5658,0.4206,0.0283
113449635,CDIPS,8,TFA1,2.5397,0.1873,0.0286
113449635,CDIPS,8,TFA2,2.2778,0.0298,0.0292
113449635,CDIPS,8,TFA2,2.5991,0.0914,0.0292
113449635,CDIPS,8,TFA3,2.5505,0.0473,0.0332
113449635,PATHOS,8,ap1_flux_cor,6.5322,0.0381,0.0297
113449635,PATHOS,8,ap1_flux_cor,1.5939,0.0467,0.0297
113449635,PATHOS,8,ap1_flux_cor,15.4131,0.062,0.0297
113449635,PATHOS,8,ap1_flux_cor,3.0349,0.2968,0.0297
113449635,PATHOS,8,ap1_flux_cor,2.2288,0.2975,0.0297
113449635,PATHOS,8,ap1_flux_cor,2.5614,0.8964,0.0297
113449635,PATHOS,8,ap2_flux_cor,2.2305,0.2811,0.0325
113449635,PATHOS,8,ap2_flux_cor,3.0472,0.3344,0.0325
113449635,PATHOS,8,ap2_flux_cor,2.5701,0.8897,0.0325
113449635,PATHOS,8,ap3_flux_cor,4.4382,0.042,0.0387
113449635,PATHOS,8,ap3_flux_cor,21.1691,0.09,0.0387
113449635,PATHOS,8,ap3_flux_cor,2.2255,0.1783,0.0387
113449635,PATHOS,8,ap3_flux_cor,3.0472,0.3181,0.0387
113449635,PATHOS,8,ap3_flux_cor,2.5614,0.6809,0.0387
113449635,PATHOS,8,psf_flux_cor,20.4487,0.0502,0.0406
113449635,PATHOS,8,psf_flux_cor,2.2305,0.277,0.0406
113449635,PATHOS,8,psf_flux_cor,3.0472,0.3437,0.0406
113449635,PATHOS,8,psf_flux_cor,2.5679,0.885,0.0406
113452181,CDIPS,8,PCA1,0.8325,0.06,0.0274
113452181,CDIPS,8,PCA1,0.7965,0.1853,0.0274
113452181,CDIPS,8,PCA2,0.832,0.0385,0.0286
113452181,CDIPS,8,PCA2,0.7963,0.1481,0.0286
113452181,CDIPS,8,PCA3,0.7975,0.0572,0.0341
113452181,CDIPS,8,TFA1,0.8341,0.0377,0.0305
113452181,CDIPS,8,TFA1,0.7645,0.0438,0.0305
113452181,CDIPS,8,TFA1,0.7973,0.1286,0.0305
113452181,CDIPS,8,TFA2,0.8336,0.0596,0.0294
113452181,CDIPS,8,TFA2,0.7967,0.1068,0.0294
113452181,CDIPS,8,TFA3,0.7954,0.0442,0.0365
113452181,PATHOS,8,ap1_flux_cor,0.7633,0.0414,0.0318
113452181,PATHOS,8,ap1_flux_cor,0.8345,0.0477,0.0318
113452181,PATHOS,8,ap1_flux_cor,3.8129,0.0522,0.0318
113452181,PATHOS,8,ap1_flux_cor,3.0659,0.0566,0.0318
113452181,PATHOS,8,ap1_flux_cor,5.6908,0.0609,0.0318
113452181,PATHOS,8,ap1_flux_cor,0.7971,0.13,0.0318
113452181,PATHOS,8,ap1_flux_cor,11.9732,0.2383,0.0318
113452181,PATHOS,8,ap2_flux_cor,4.2985,0.0368,0.0328
113452181,PATHOS,8,ap2_flux_cor,2.7092,0.0427,0.0328
113452181,PATHOS,8,ap2_flux_cor,0.7616,0.0569,0.0328
113452181,PATHOS,8,ap2_flux_cor,3.12,0.0594,0.0328
113452181,PATHOS,8,ap2_flux_cor,5.6059,0.0913,0.0328
113452181,PATHOS,8,ap2_flux_cor,0.8373,0.1104,0.0328
113452181,PATHOS,8,ap2_flux_cor,0.7984,0.205,0.0328
113452181,PATHOS,8,ap2_flux_cor,10.849,0.2125,0.0328
113452181,PATHOS,8,ap3_flux_cor,3.2909,0.0349,0.0343
113452181,PATHOS,8,ap3_flux_cor,0.8003,0.0457,0.0343
113452181,PATHOS,8,ap3_flux_cor,2.7166,0.0468,0.0343
113452181,PATHOS,8,ap3_flux_cor,4.0658,0.0526,0.0343
113452181,PATHOS,8,ap3_flux_cor,6.7072,0.196,0.0343
113452181,PATHOS,8,ap3_flux_cor,11.4267,0.2554,0.0343
113452181,PATHOS,8,ap3_flux_cor,24.05,0.4888,0.0343
113452181,PATHOS,8,psf_flux_cor,3.0227,0.0546,0.0373
113452181,PATHOS,8,psf_flux_cor,0.7631,0.0563,0.0373
113452181,PATHOS,8,psf_flux_cor,5.6059,0.1095,0.0373
113452181,PATHOS,8,psf_flux_cor,9.3615,0.1382,0.0373
