TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
238443988,CDIPS,7,PCA1,1.6463,0.0286,0.0231
238443988,CDIPS,7,PCA1,1.9296,0.0351,0.0231
238443988,CDIPS,7,PCA1,3.4299,0.7706,0.0231
238443988,CDIPS,7,PCA2,1.9663,0.0251,0.0216
238443988,CDIPS,7,PCA2,3.4978,0.7783,0.0216
238443988,CDIPS,7,PCA3,6.5465,0.0255,0.0239
238443988,CDIPS,7,PCA3,4.7243,0.0772,0.0239
238443988,CDIPS,7,PCA3,2.9485,0.0985,0.0239
238443988,CDIPS,7,PCA3,3.6156,0.6964,0.0239
238443988,CDIPS,7,TFA1,2.3147,0.0299,0.024
238443988,CDIPS,7,TFA1,3.4535,0.2825,0.024
238443988,CDIPS,7,TFA2,3.5306,0.3173,0.0232
238443988,CDIPS,7,TFA3,1.6472,0.0308,0.0247
238443988,CDIPS,7,TFA3,2.9601,0.0476,0.0247
238443988,CDIPS,7,TFA3,3.6419,0.18,0.0247
238443988,CDIPS,8,PCA1,1.8376,0.039,0.0279
238443988,CDIPS,8,PCA1,1.6747,0.049,0.0279
238443988,CDIPS,8,PCA1,4.4646,0.0501,0.0279
238443988,CDIPS,8,PCA1,3.1167,0.1519,0.0279
238443988,CDIPS,8,PCA1,2.6589,0.223,0.0279
238443988,CDIPS,8,PCA2,3.1135,0.0324,0.0296
238443988,CDIPS,8,PCA2,0.8204,0.0336,0.0296
238443988,CDIPS,8,PCA2,1.1951,0.0387,0.0296
238443988,CDIPS,8,PCA2,4.4913,0.0417,0.0296
238443988,CDIPS,8,PCA2,1.8455,0.0425,0.0296
238443988,CDIPS,8,PCA2,2.6542,0.0475,0.0296
238443988,CDIPS,8,PCA2,2.0355,0.0519,0.0296
238443988,CDIPS,8,PCA3,0.8449,0.0277,0.0276
238443988,CDIPS,8,PCA3,0.9055,0.0301,0.0276
238443988,CDIPS,8,PCA3,1.5888,0.0422,0.0276
238443988,CDIPS,8,PCA3,2.5901,0.0479,0.0276
238443988,CDIPS,8,PCA3,2.2641,0.1163,0.0276
238443988,CDIPS,8,PCA3,2.0246,0.1353,0.0276
238443988,CDIPS,8,TFA2,0.9077,0.0273,0.0268
238443988,CDIPS,8,TFA3,1.9484,0.0331,0.0276
238443988,PATHOS,7,ap1_flux_cor,7.2758,0.0577,0.0246
238443988,PATHOS,7,ap1_flux_cor,22.6025,0.1221,0.0246
238443988,PATHOS,7,ap1_flux_cor,3.5224,0.7424,0.0246
238443988,PATHOS,7,ap2_flux_cor,10.2915,0.0319,0.0225
238443988,PATHOS,7,ap2_flux_cor,6.9557,0.0393,0.0225
238443988,PATHOS,7,ap2_flux_cor,30.6816,0.0652,0.0225
238443988,PATHOS,7,ap2_flux_cor,3.5182,0.8643,0.0225
238443988,PATHOS,7,ap3_flux_cor,6.9557,0.0261,0.0236
238443988,PATHOS,7,ap3_flux_cor,1.6974,0.0269,0.0236
238443988,PATHOS,7,ap3_flux_cor,10.5075,0.0598,0.0236
238443988,PATHOS,7,ap3_flux_cor,3.5182,0.786,0.0236
238443988,PATHOS,7,psf_flux_cor,6.9718,0.0346,0.0236
238443988,PATHOS,7,psf_flux_cor,10.3984,0.0363,0.0236
238443988,PATHOS,7,psf_flux_cor,22.9478,0.0643,0.0236
238443988,PATHOS,7,psf_flux_cor,3.5141,0.8645,0.0236
238443988,QLP,7,sap_flux,6.9557,0.0486,0.0244
238443988,QLP,7,sap_flux,19.2684,0.0889,0.0244
238443988,QLP,7,sap_flux,3.5224,0.8223,0.0244
238443988,QLP,8,sap_flux,1.709,0.0358,0.0258
238443988,QLP,8,sap_flux,2.1384,0.0365,0.0258
238443988,QLP,8,sap_flux,1.8884,0.0575,0.0258
238443988,QLP,8,sap_flux,4.342,0.0783,0.0258
238443988,QLP,8,sap_flux,3.2482,0.0812,0.0258
238443988,QLP,8,sap_flux,2.7388,0.1387,0.0258
238443988,QLP,8,sap_flux,9.9178,0.2841,0.0258
238444307,CDIPS,7,PCA1,1.2725,0.0313,0.0247
238444307,CDIPS,7,PCA1,1.1411,0.0554,0.0247
238444307,CDIPS,7,PCA1,1.0058,0.1446,0.0247
238444307,CDIPS,7,PCA1,0.9146,0.6038,0.0247
238444307,CDIPS,7,PCA2,1.2752,0.03,0.0214
238444307,CDIPS,7,PCA2,1.1432,0.069,0.0214
238444307,CDIPS,7,PCA2,1.0018,0.1379,0.0214
238444307,CDIPS,7,PCA2,0.9146,0.6111,0.0214
238444307,CDIPS,7,PCA3,1.1432,0.0621,0.0296
238444307,CDIPS,7,PCA3,1.0028,0.1444,0.0296
238444307,CDIPS,7,PCA3,0.9148,0.5984,0.0296
238444307,CDIPS,7,TFA1,1.1432,0.0423,0.0218
238444307,CDIPS,7,TFA1,0.9899,0.1102,0.0218
238444307,CDIPS,7,TFA1,0.9154,0.4553,0.0218
238444307,CDIPS,7,TFA2,1.1471,0.0421,0.0209
238444307,CDIPS,7,TFA2,0.9899,0.1002,0.0209
238444307,CDIPS,7,TFA2,0.914,0.4641,0.0209
238444307,CDIPS,7,TFA3,1.2725,0.0269,0.0242
238444307,CDIPS,7,TFA3,1.0008,0.1025,0.0242
238444307,CDIPS,7,TFA3,0.9151,0.4515,0.0242
238444307,CDIPS,8,PCA1,1.1613,0.032,0.0294
238444307,CDIPS,8,PCA1,1.0126,0.2673,0.0294
238444307,CDIPS,8,PCA1,0.9207,0.6505,0.0294
238444307,CDIPS,8,PCA2,1.1591,0.0321,0.0303
238444307,CDIPS,8,PCA2,0.7587,0.0328,0.0303
