target_name,provenance_name,flux_cols,sequence_number,obs_id,productFilename,author,fund_periods,fund_powers,sig_periods,sig_powers,sec_periods,sec_powers,thresholds,tics,num_sig_peaks,harm_types,clean60,clean30,clean10,clean,half,dbl,period_short,power_short,SpotEvol,MultiProt,Blended,Q,Q2,Q3,Select,Notes
238443988,CDIPS,PCA1,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.4299,0.7706,3.4299,0.7706,1.9296,0.0351,0.023109,238443988,2,-,TRUE,TRUE,TRUE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,2.6589,0.223,2.6589,0.223,3.1167,0.1519,0.027918,238443988,4,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,PCA2,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.4978,0.7783,3.4978,0.7783,1.9663,0.0251,0.021601,238443988,1,-,TRUE,TRUE,TRUE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,2.0355,0.0519,2.0355,0.0519,2.6542,0.0475,0.029564,238443988,6,-,FALSE,FALSE,FALSE,FALSE,1,0,-99,-99,,,,,,,,
238443988,CDIPS,PCA3,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.6156,0.6964,3.6156,0.6964,2.9485,0.0985,0.023885,238443988,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,2.0246,0.1353,2.0246,0.1353,2.2641,0.1163,0.027553,238443988,5,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA1,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.4535,0.2825,3.4535,0.2825,2.3147,0.0299,0.024025,238443988,1,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.3336,0.0193,-9999,-9999,-9999,-9999,0.030441,238443988,0,-,FALSE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA2,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.5306,0.3173,3.5306,0.3173,-9999,-9999,0.023217,238443988,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9077,0.0273,0.9077,0.0273,-9999,-9999,0.026753,238443988,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA3,7,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,3.6419,0.18,3.6419,0.18,2.9601,0.0476,0.024655,238443988,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238443988,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514442101997584384-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,1.9484,0.0331,1.9484,0.0331,-9999,-9999,0.027633,238443988,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
238443988,QLP,sap_flux,7,hlsp_qlp_tess_ffi_s0007-0000000238443988_tess_v01_llc,hlsp_qlp_tess_ffi_s0007-0000000238443988_tess_v01_llc.fits,QLP,3.5224,0.8223,3.5224,0.8223,19.2684,0.0889,0.024373,238443988,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,m,n,m,0,2,2,y,"also visible in PCA, but not in Sector 8"
238443988,QLP,sap_flux,8,hlsp_qlp_tess_ffi_s0008-0000000238443988_tess_v01_llc,hlsp_qlp_tess_ffi_s0008-0000000238443988_tess_v01_llc.fits,QLP,9.9178,0.2841,9.9178,0.2841,2.7388,0.1387,0.025815,238443988,6,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238444307,CDIPS,PCA1,7,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9146,0.6038,0.9146,0.6038,1.0058,0.1446,0.024668,238444307,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238444307,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9207,0.6505,0.9207,0.6505,1.0126,0.2673,0.029435,238444307,2,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,m,m,n,0,1,2,y,obvious beat pattern
238444307,CDIPS,PCA2,7,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9146,0.6111,0.9146,0.6111,1.0018,0.1379,0.021444,238444307,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238444307,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9207,0.6543,0.9207,0.6543,1.0126,0.284,0.030349,238444307,3,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238444307,CDIPS,PCA3,7,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0007-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9148,0.5984,0.9148,0.5984,1.0028,0.1444,0.029638,238444307,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
238444307,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005514428431124018944-0008-cam3-ccd4_tess_v01_llc.fits,CDIPS,0.9202,0.6526,0.9202,0.6526,1.0116,0.271,0.028849,238444307,3,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
