age_Collinder_135,e_up_age_Collinder_135,e_dn_age_Collinder_135,age_IC_2602,e_up_age_IC_2602,e_dn_age_IC_2602,age_NGC_2547,e_up_age_NGC_2547,e_dn_age_NGC_2547,age_IC_2391,e_up_age_IC_2391,e_dn_age_IC_2391,age_NGC_2451A,e_up_age_NGC_2451A,e_dn_age_NGC_2451A,Source,Source_formatted,Notes,Order
35,0,0,,,,35,0,0,,,,,,,beccari2020,"Beccari+ 2020",,coeval
,,,35.2370871,0,0,27.03958364,0,0,36.39150361,0,0,44.36086439,0,0,bossini2019,"Bossini+ 2019",,3245
,,,43.7,4.3,3.9,37,5.7,4.8,51.3,5,4.5,,,,brevi2018,"Brevi+2018",,324
26.30267992,0,0,36.30780548,0,0,32.35936569,0,0,28.84031503,0,0,35.48133892,0,0,cantat2020,"Cantat-Gaudin+ 2020",,14352
,,,10,15,5,9,15,5,,,,,,,cummings2018,"Cummings+ 2018; PARSEC","[Fe/H] is from literature, age/dmod from PARSEC fit",coeval
,,,16,15,5,10,15,5,,,,,,,cummings2018,"Cummings+ 2018; MIST","[Fe/H] is from literature, age from MIST fit",coeval
26,0,0,32,0,0,38,0,0,46,0,0,60,0,0,gozha2012,"Gozha+2012",,12345
,,,35,1,1,40,5,5,36,2,2,,,,gutierrezalbarran2020,"Gutiérrez Albarrán+ 2020",Li,234(ish)
39.81071706,0,0,221.309471,0,0,77.62471166,0,0,112.2018454,0,0,57.54399373,0,0,kharchenko2013,"Kharchenko+ 2013",Pre-gaia,15342
,,,30,20,20,50,20,20,50,30,30,50,20,20,netopil2016,"Netopil+ 2016",Pre-gaia,2 and 345 coeval
,,,,,,31.6227766,0,0,,,,60.25595861,0,0,pohnl2010,"Pohnl+ 2010",,35
,,,31,6,5,37,8,11,40,9,10,32,4,4,randich2018,"Randich+ 2018; PROSECCO",PROSECCO model,2534
,,,30,7,8,39,11,12,42,10,14,44,2,3,randich2018,"Randich+ 2018; PARSEC",PARSEC model,2345
,,,32,7,5,36,8,11,44,3,4,36,4,5,randich2018,"Randich+ 2018; MIST",MIST model,2354
25.70395783,0,0,,,,,,,45.70881896,0,0,,,,sampedro2017,"Sampedro+ 2017",,14
,,,36.30780548,4.43,3.95,,,,,,,53.70317964,9.4,7.99,silaj2014,"Silaj+ 2014",,25
,,,100,12.2,45,,,,81.28305162,118.24,5.1,147.9108388,97.56,75.46,yen2018,"Yen+ 2018",,425
,,,46,0,0,38,0,0,51,0,0,,,,Brutus,,,324
34.8,0.5,0.5,40.5,0.8,0.8,,,,45,1.7,1.7,48.5,1.3,1.3,kerr2021,"Kerr+ 2021",,1245
,,,42.65795188,4.115562249,2.847234825,33.88441561,1.596923309,0.7713034657,63.09573445,28.10534949,10.61498842,43.65158322,3.121930905,2.913555444,jeffries2023,"Jeffries+ 2023",Li,3254
